Time (Seconds),Amplitude (Volts),,Time (Seconds),,,,Amplitude (Volts)
1,0.36134353,,,,,,-0.36134353
2,0.3554205,,,,,,-0.3554205
3,0.36216617,,,,,,-0.36216617
4,0.37055713,,,,,-1,-0.37055713
5,0.37055713,,,,,,-0.37055713
6,0.38701,,,,,,-0.38701
7,0.3942493,,,,,,-0.3942493
8,0.37467036,,,,,,-0.37467036
9,0.35163635,,,,,,-0.35163635
10,0.33172837,,,,,,-0.33172837
11,0.30852985,,,,,,-0.30852985
12,0.28269884,,,,,,-0.28269884
13,0.26131013,,,,,,-0.26131013
14,0.23926331,,,,,,-0.23926331
15,0.21063536,,,,,,-0.21063536
16,0.191221,,,,,,-0.191221
17,0.17986853,,,,,,-0.17986853
18,0.15634097,,,,,,-0.15634097
19,0.14054625,,,,,,-0.14054625
20,0.13824286,,,,,,-0.13824286
21,0.12886474,,,,,,-0.12886474
22,0.1078051,,,,,,-0.1078051
23,0.098756045,,,,,,-0.098756045
24,0.093326606,,,,,,-0.093326606
25,0.08329038,,,,,,-0.08329038
26,0.074241325,,,,,,-0.074241325
27,0.058611136,,,,,,-0.058611136
28,0.06009189,,,,,,-0.06009189
29,0.052030005,,,,,,-0.052030005
30,0.04511982,,,,,,-0.04511982
31,0.04577793,,,,,,-0.04577793
32,0.050055668,,,,,,-0.050055668
33,0.041993782,,,,,,-0.041993782
34,0.04018397,,,,,,-0.04018397
35,0.05449793,,,,,,-0.05449793
36,0.049891137,,,,,,-0.049891137
37,0.0316285,,,,,,-0.0316285
38,0.03245114,,,,,,-0.03245114
39,0.031299446,,,,,,-0.031299446
40,0.02899605,,,,,,-0.02899605
41,0.034096424,,,,,,-0.034096424
42,0.0316285,,,,,,-0.0316285
43,0.024060203,,,,,,-0.024060203
44,0.027844353,,,,,,-0.027844353
45,0.04890397,,,,,,-0.04890397
46,0.048574913,,,,,,-0.048574913
47,0.041993782,,,,,,-0.041993782
48,0.043145478,,,,,,-0.043145478
49,0.034425482,,,,,,-0.034425482
50,0.0327802,,,,,,-0.0327802
51,0.029325105,,,,,,-0.029325105
52,0.026692655,,,,,,-0.026692655
53,0.02438926,,,,,,-0.02438926
54,0.030641332,,,,,,-0.030641332
55,0.037057932,,,,,,-0.037057932
56,0.05926925,,,,,,-0.05926925
57,0.06766019,,,,,,-0.06766019
58,0.0706217,,,,,,-0.0706217
59,0.07555755,,,,,,-0.07555755
60,0.09892057,,,,,,-0.09892057
61,0.1013885,,,,,,-0.1013885
62,0.11208284,,,,,,-0.11208284
63,0.124916054,,,,,,-0.124916054
64,0.13890097,,,,,,-0.13890097
65,0.1477855,,,,,,-0.1477855
66,0.15551834,,,,,,-0.15551834
67,0.17411004,,,,,,-0.17411004
68,0.1698323,,,,,,-0.1698323
69,0.16900966,,,,,,-0.16900966
70,0.18184288,,,,,,-0.18184288
71,0.1923727,,,,,,-0.1923727
72,0.19730856,,,,,,-0.19730856
73,0.20520592,,,,,,-0.20520592
74,0.20668668,,,,,,-0.20668668
75,0.19500515,,,,,,-0.19500515
76,0.21112895,,,,,,-0.21112895
77,0.21573575,,,,,,-0.21573575
78,0.21540669,,,,,,-0.21540669
79,0.21359687,,,,,,-0.21359687
80,0.2126097,,,,,,-0.2126097
81,0.20191535,,,,,,-0.20191535
82,0.18250099,,,,,,-0.18250099
83,0.17312287,,,,,,-0.17312287
84,0.17575532,,,,,,-0.17575532
85,0.16933872,,,,,,-0.16933872
86,0.15864436,,,,,,-0.15864436
87,0.16308664,,,,,,-0.16308664
88,0.17065494,,,,,,-0.17065494
89,0.16966778,,,,,,-0.16966778
90,0.15749267,,,,,,-0.15749267
91,0.14284964,,,,,,-0.14284964
92,0.13297795,,,,,,-0.13297795
93,0.12606774,,,,,,-0.12606774
94,0.13051002,,,,,,-0.13051002
95,0.14284964,,,,,,-0.14284964
96,0.14350776,,,,,,-0.14350776
97,0.14005266,,,,,,-0.14005266
98,0.14992437,,,,,,-0.14992437
99,0.14992437,,,,,,-0.14992437
100,0.14268512,,,,,,-0.14268512
101,0.13988814,,,,,,-0.13988814
102,0.13018095,,,,,,-0.13018095
103,0.12146095,,,,,,-0.12146095
104,0.11849944,,,,,,-0.11849944
105,0.13018095,,,,,,-0.13018095
106,0.12919378,,,,,,-0.12919378
107,0.12590322,,,,,,-0.12590322
108,0.13709114,,,,,,-0.13709114
109,0.15518928,,,,,,-0.15518928
110,0.16226399,,,,,,-0.16226399
111,0.16292211,,,,,,-0.16292211
112,0.14943078,,,,,,-0.14943078
113,0.14169794,,,,,,-0.14169794
114,0.15255682,,,,,,-0.15255682
115,0.1553538,,,,,,-0.1553538
116,0.14795002,,,,,,-0.14795002
117,0.14005266,,,,,,-0.14005266
118,0.1135636,,,,,,-0.1135636
119,0.10615982,,,,,,-0.10615982
120,0.112411894,,,,,,-0.112411894
121,0.100236796,,,,,,-0.100236796
122,0.08625189,,,,,,-0.08625189
123,0.08987151,,,,,,-0.08987151
124,0.089542456,,,,,,-0.089542456
125,0.082632266,,,,,,-0.082632266
126,0.09743982,,,,,,-0.09743982
127,0.114057176,,,,,,-0.114057176
128,0.11833492,,,,,,-0.11833492
129,0.1303455,,,,,,-0.1303455
130,0.14367229,,,,,,-0.14367229
131,0.1263968,,,,,,-0.1263968
132,0.12376435,,,,,,-0.12376435
133,0.12063831,,,,,,-0.12063831
134,0.112411894,,,,,,-0.112411894
135,0.10089491,,,,,,-0.10089491
136,0.10352737,,,,,,-0.10352737
137,0.100236796,,,,,,-0.100236796
138,0.09826246,,,,,,-0.09826246
139,0.09414925,,,,,,-0.09414925
140,0.08329038,,,,,,-0.08329038
141,0.09316208,,,,,,-0.09316208
142,0.09743982,,,,,,-0.09743982
143,0.09447831,,,,,,-0.09447831
144,0.09990774,,,,,,-0.09990774
145,0.116525106,,,,,,-0.116525106
146,0.112411894,,,,,,-0.112411894
147,0.10796963,,,,,,-0.10796963
148,0.12195454,,,,,,-0.12195454
149,0.12129643,,,,,,-0.12129643
150,0.119651146,,,,,,-0.119651146
151,0.13528134,,,,,,-0.13528134
152,0.14038172,,,,,,-0.14038172
153,0.1263968,,,,,,-0.1263968
154,0.12442247,,,,,,-0.12442247
155,0.14367229,,,,,,-0.14367229
156,0.142027,,,,,,-0.142027
157,0.14054625,,,,,,-0.14054625
158,0.15831532,,,,,,-0.15831532
159,0.16374475,,,,,,-0.16374475
160,0.16999683,,,,,,-0.16999683
161,0.17049041,,,,,,-0.17049041
162,0.1721357,,,,,,-0.1721357
163,0.15913795,,,,,,-0.15913795
164,0.15008889,,,,,,-0.15008889
165,0.15732814,,,,,,-0.15732814
166,0.17921042,,,,,,-0.17921042
167,0.20586403,,,,,,-0.20586403
168,0.21771008,,,,,,-0.21771008
169,0.21787462,,,,,,-0.21787462
170,0.20652215,,,,,,-0.20652215
171,0.18908213,,,,,,-0.18908213
172,0.18710779,,,,,,-0.18710779
173,0.18299457,,,,,,-0.18299457
174,0.17147759,,,,,,-0.17147759
175,0.15782173,,,,,,-0.15782173
176,0.18612061,,,,,,-0.18612061
177,0.20125723,,,,,,-0.20125723
178,0.19368893,,,,,,-0.19368893
179,0.18809496,,,,,,-0.18809496
180,0.19319534,,,,,,-0.19319534
181,0.18463986,,,,,,-0.18463986
182,0.18644968,,,,,,-0.18644968
183,0.21392593,,,,,,-0.21392593
184,0.23087236,,,,,,-0.23087236
185,0.23547916,,,,,,-0.23547916
186,0.24748974,,,,,,-0.24748974
187,0.24814786,,,,,,-0.24814786
188,0.2478188,,,,,,-0.2478188
189,0.2524256,,,,,,-0.2524256
190,0.2529192,,,,,,-0.2529192
191,0.2517675,,,,,,-0.2517675
192,0.2529192,,,,,,-0.2529192
193,0.26295543,,,,,,-0.26295543
194,0.2713464,,,,,,-0.2713464
195,0.27562413,,,,,,-0.27562413
196,0.27414337,,,,,,-0.27414337
197,0.2680558,,,,,,-0.2680558
198,0.2761177,,,,,,-0.2761177
199,0.28664753,,,,,,-0.28664753
200,0.28845736,,,,,,-0.28845736
201,0.30161965,,,,,,-0.30161965
202,0.2966838,,,,,,-0.2966838
203,0.28450868,,,,,,-0.28450868
204,0.2782566,,,,,,-0.2782566
205,0.28467318,,,,,,-0.28467318
206,0.2713464,,,,,,-0.2713464
207,0.26591694,,,,,,-0.26591694
208,0.26838487,,,,,,-0.26838487
209,0.2627909,,,,,,-0.2627909
210,0.2583486,,,,,,-0.2583486
211,0.27216902,,,,,,-0.27216902
212,0.29569662,,,,,,-0.29569662
213,0.29289964,,,,,,-0.29289964
214,0.2966838,,,,,,-0.2966838
215,0.32119855,,,,,,-0.32119855
216,0.33255103,,,,,,-0.33255103
217,0.3341963,,,,,,-0.3341963
218,0.34702954,,,,,,-0.34702954
219,0.3593692,,,,,,-0.3593692
220,0.36595035,,,,,,-0.36595035
221,0.36825374,,,,,,-0.36825374
222,0.37450582,,,,,,-0.37450582
223,0.39145228,,,,,,-0.39145228
224,0.39293304,,,,,,-0.39293304
225,0.39359117,,,,,,-0.39359117
226,0.3978689,,,,,,-0.3978689
227,0.41711876,,,,,,-0.41711876
228,0.40329835,,,,,,-0.40329835
229,0.3942493,,,,,,-0.3942493
230,0.41794142,,,,,,-0.41794142
231,0.40593082,,,,,,-0.40593082
232,0.4064244,,,,,,-0.4064244
233,0.41859952,,,,,,-0.41859952
234,0.40790516,,,,,,-0.40790516
235,0.40000778,,,,,,-0.40000778
236,0.41234744,,,,,,-0.41234744
237,0.4151444,,,,,,-0.4151444
238,0.39869156,,,,,,-0.39869156
239,0.38668096,,,,,,-0.38668096
240,0.39589456,,,,,,-0.39589456
241,0.38651642,,,,,,-0.38651642
242,0.3789481,,,,,,-0.3789481
