Time (Seconds),Amplitude (Volts),,Time (Seconds)
1,-0.08937793,,
2,-0.01221417,,
3,0.024804676,,
4,0.08090877,,
5,0.10015856,,
6,0.118421175,,
7,0.064455956,,
8,-0.06453416,,
9,-0.1790459,,
10,-0.18595609,,
11,-0.11800586,,
12,-0.057953022,,
13,-0.005139456,,
14,0.046522394,,
15,0.074821234,,
16,0.09588083,,
17,0.034840893,,
18,-0.113234535,,
19,-0.2195199,,
20,-0.20899007,,
21,-0.13133265,,
22,-0.049397554,,
23,-0.00941719,,
24,-0.000532666,,
25,0.01707185,,
26,0.033689197,,
27,-0.011885113,,
28,-0.14268512,,
29,-0.22577198,,
30,-0.22017801,,
31,-0.15469569,,
32,-0.07901265,,
33,-0.000697195,,
34,0.051787294,,
35,0.08321217,,
36,0.0863382,,
37,0.035663534,,
38,-0.119322084,,
39,-0.23449199,,
40,-0.24699616,,
41,-0.17690702,,
42,-0.08773264,,
43,-0.026692655,,
44,0.024146562,,
45,0.055406913,,
46,0.044383526,,
47,0.0016062,,
48,-0.13445869,,
49,-0.2414022,,
50,-0.24156672,,
51,-0.18414627,,
52,-0.12129643,,
53,-0.06979906,,
54,0.004074123,,
55,0.021514112,,
56,0.03599259,,
57,-0.018959828,,
58,-0.16242853,,
59,-0.26328447,,
60,-0.25275466,,
61,-0.16275758,,
62,-0.06798925,,
63,-0.02340209,,
64,0.055242386,,
65,0.080086134,,
66,0.09324838,,
67,0.013781287,,
68,-0.1310036,,
69,-0.21721649,,
70,-0.20602857,,
71,-0.12985191,,
72,-0.056143213,,
73,-0.017479073,,
74,0.016084682,,
75,0.035663534,,
76,0.044548053,,
77,-0.023895673,,
78,-0.1576572,,
79,-0.24716069,,
80,-0.26328447,,
81,-0.20882554,,
82,-0.13347153,,
83,-0.07851906,,
84,-0.010733415,,
85,0.038131457,,
86,0.055900495,,
87,-0.001684364,,
88,-0.16473192,,
89,-0.25028673,,
90,-0.243212,,
91,-0.16275758,,
92,-0.09349114,,
93,-0.0403485,,
94,-0.015833791,,
95,0.025462788,,
96,0.036486175,,
97,-0.017150017,,
98,-0.14729191,,
99,-0.22906254,,
100,-0.22050707,,
101,-0.16045418,,
102,-0.084771134,,
103,-0.023731146,,
104,0.026779013,,
105,0.022830337,,
106,0.00621299,,
107,-0.07917717,,
108,-0.25226107,,
109,-0.36726657,,
110,-0.35295257,,
111,-0.2673977,,
112,-0.18694326,,
113,-0.108792275,,
114,-0.031134916,,
115,-0.017150017,,
116,0.002264313,,
117,-0.06469868,,
118,-0.20931913,,
119,-0.312314,,
120,-0.2910898,,
121,-0.20652215,,
122,-0.15124059,,
123,-0.11784133,,
124,-0.04758774,,
125,-0.035083596,,
126,-0.029818691,,
127,-0.094971895,,
