Time (Seconds),Amplitude (Volts),,Time (Seconds),,,Amplitude (Volts)
1,0.22330405,,,,,-0.22330405
2,0.23959237,,,,,-0.23959237
3,0.2455154,,,-1,,-0.2455154
4,0.21984896,,,,,-0.21984896
5,0.18694326,,,,,-0.18694326
6,0.17032589,,,,,-0.17032589
7,0.16884513,,,,,-0.16884513
8,0.16950324,,,,,-0.16950324
9,0.16078325,,,,,-0.16078325
10,0.15156965,,,,,-0.15156965
11,0.1466338,,,,,-0.1466338
12,0.15107606,,,,,-0.15107606
13,0.15058248,,,,,-0.15058248
14,0.1454821,,,,,-0.1454821
15,0.1385719,,,,,-0.1385719
16,0.12853567,,,,,-0.12853567
17,0.13610399,,,,,-0.13610399
18,0.1466338,,,,,-0.1466338
19,0.14811455,,,,,-0.14811455
20,0.153544,,,,,-0.153544
21,0.16259305,,,,,-0.16259305
22,0.15255682,,,,,-0.15255682
23,0.15140513,,,,,-0.15140513
24,0.15601191,,,,,-0.15601191
25,0.15288587,,,,,-0.15288587
26,0.14926626,,,,,-0.14926626
27,0.15667003,,,,,-0.15667003
28,0.15930249,,,,,-0.15930249
29,0.16999683,,,,,-0.16999683
30,0.16719985,,,,,-0.16719985
31,0.1767425,,,,,-0.1767425
32,0.17855231,,,,,-0.17855231
33,0.16242853,,,,,-0.16242853
34,0.16950324,,,,,-0.16950324
35,0.17641345,,,,,-0.17641345
36,0.16571909,,,,,-0.16571909
37,0.15124059,,,,,-0.15124059
38,0.13248436,,,,,-0.13248436
39,0.1257387,,,,,-0.1257387
40,0.118663974,,,,,-0.118663974
41,0.11520888,,,,,-0.11520888
42,0.108627744,,,,,-0.108627744
43,0.100236796,,,,,-0.100236796
44,0.10747605,,,,,-0.10747605
45,0.12080284,,,,,-0.12080284
46,0.11191831,,,,,-0.11191831
47,0.104843594,,,,,-0.104843594
48,0.09974322,,,,,-0.09974322
49,0.10352737,,,,,-0.10352737
50,0.11800586,,,,,-0.11800586
51,0.1303455,,,,,-0.1303455
52,0.13166171,,,,,-0.13166171
53,0.13824286,,,,,-0.13824286
54,0.13873644,,,,,-0.13873644
55,0.13445869,,,,,-0.13445869
56,0.1367621,,,,,-0.1367621
57,0.13544586,,,,,-0.13544586
58,0.13939455,,,,,-0.13939455
59,0.13182624,,,,,-0.13182624
60,0.12853567,,,,,-0.12853567
61,0.12442247,,,,,-0.12442247
62,0.113399066,,,,,-0.113399066
63,0.09595906,,,,,-0.09595906
64,0.07769642,,,,,-0.07769642
65,0.07325415,,,,,-0.07325415
66,0.06700208,,,,,-0.06700208
67,0.06930547,,,,,-0.06930547
68,0.07243151,,,,,-0.07243151
69,0.06749567,,,,,-0.06749567
70,0.071937926,,,,,-0.071937926
71,0.054826986,,,,,-0.054826986
72,0.04758774,,,,,-0.04758774
73,0.036070764,,,,,-0.036070764
74,0.02702171,,,,,-0.02702171
75,0.016985489,,,,,-0.016985489
76,0.014353037,,,,,-0.014353037
77,0.008923605,,,,,-0.008923605
78,-0.000289975,,,,,0.000289975
79,-0.006871103,,,,,0.006871103
80,-0.011971477,,,,,0.011971477
81,0.001684364,,,,,-0.001684364
82,0.029160578,,,,,-0.029160578
83,0.049891137,,,,,-0.049891137
84,0.061079063,,,,,-0.061079063
85,0.07588661,,,,,-0.07588661
86,0.08345491,,,,,-0.08345491
87,0.08608736,,,,,-0.08608736
88,0.10089491,,,,,-0.10089491
89,0.10402095,,,,,-0.10402095
90,0.09612359,,,,,-0.09612359
91,0.08427755,,,,,-0.08427755
92,0.067331135,,,,,-0.067331135
93,0.04577793,,,,,-0.04577793
94,0.033109255,,,,,-0.033109255
95,0.028173408,,,,,-0.028173408
96,0.014682093,,,,,-0.014682093
97,0.030147748,,,,,-0.030147748
98,0.040513027,,,,,-0.040513027
99,0.051207364,,,,,-0.051207364
100,0.055649627,,,,,-0.055649627
101,0.05252359,,,,,-0.05252359
102,0.057788495,,,,,-0.057788495
103,0.05466246,,,,,-0.05466246
104,0.05351076,,,,,-0.05351076
105,0.054991513,,,,,-0.054991513
106,0.05449793,,,,,-0.05449793
107,0.046106987,,,,,-0.046106987
108,0.058775663,,,,,-0.058775663
109,0.065850385,,,,,-0.065850385
110,0.07819001,,,,,-0.07819001
111,0.081151515,,,,,-0.081151515
112,0.08131604,,,,,-0.08131604
113,0.07638019,,,,,-0.07638019
114,0.06782472,,,,,-0.06782472
115,0.06848283,,,,,-0.06848283
116,0.067331135,,,,,-0.067331135
117,0.06700208,,,,,-0.06700208
118,0.06091453,,,,,-0.06091453
119,0.057623968,,,,,-0.057623968
120,0.0554851,,,,,-0.0554851
121,0.05334623,,,,,-0.05334623
122,0.065027736,,,,,-0.065027736
123,0.0793417,,,,,-0.0793417
124,0.09398472,,,,,-0.09398472
125,0.09743982,,,,,-0.09743982
126,0.0770383,,,,,-0.0770383
127,0.03376737,,,,,-0.03376737
128,0.03623529,,,,,-0.03623529
129,0.046929628,,,,,-0.046929628
130,0.046436045,,,,,-0.046436045
131,0.028666994,,,,,-0.028666994
132,0.011885113,,,,,-0.011885113
133,0.017150017,,,,,-0.017150017
134,0.028502464,,,,,-0.028502464
135,0.030970389,,,,,-0.030970389
136,0.02340209,,,,,-0.02340209
137,0.020769637,,,,,-0.020769637
138,0.019124355,,,,,-0.019124355
139,0.03656435,,,,,-0.03656435
140,0.056965854,,,,,-0.056965854
141,0.05334623,,,,,-0.05334623
142,0.046600573,,,,,-0.046600573
143,0.05054925,,,,,-0.05054925
144,0.05071378,,,,,-0.05071378
145,0.046600573,,,,,-0.046600573
146,0.03195756,,,,,-0.03195756
147,0.030476803,,,,,-0.030476803
148,0.0403485,,,,,-0.0403485
149,0.056472268,,,,,-0.056472268
150,0.07308963,,,,,-0.07308963
151,0.08213868,,,,,-0.08213868
152,0.07358321,,,,,-0.07358321
153,0.06436963,,,,,-0.06436963
154,0.05466246,,,,,-0.05466246
155,0.048081327,,,,,-0.048081327
156,0.045284346,,,,,-0.045284346
157,0.031793028,,,,,-0.031793028
158,0.026363598,,,,,-0.026363598
159,0.029654162,,,,,-0.029654162
160,0.03080586,,,,,-0.03080586
161,0.016327376,,,,,-0.016327376
162,0.0000391,,,,,-3.91E-05
163,-0.013945815,,,,,0.013945815
164,-0.025956372,,,,,0.025956372
165,-0.027272597,,,,,0.027272597
166,-0.026285429,,,,,0.026285429
167,-0.029246936,,,,,0.029246936
168,-0.018717133,,,,,0.018717133
169,-0.0197043,,,,,0.0197043
170,-0.027437126,,,,,0.027437126
171,-0.03615712,,,,,0.03615712
172,-0.033689197,,,,,0.033689197
173,-0.019210717,,,,,0.019210717
174,-0.011806949,,,,,0.011806949
175,-0.000619031,,,,,0.000619031
176,0.001848892,,,,,-0.001848892
177,-0.00341601,,,,,0.00341601
178,-0.000783559,,,,,0.000783559
179,0.009910774,,,,,-0.009910774
180,0.007278323,,,,,-0.007278323
181,-0.002099785,,,,,0.002099785
182,-0.005225821,,,,,0.005225821
183,-0.001441672,,,,,0.001441672
184,-0.002099785,,,,,0.002099785
185,-0.013616758,,,,,0.013616758
186,-0.023817506,,,,,0.023817506
187,-0.026779013,,,,,0.026779013
188,-0.02250128,,,,,0.02250128
189,-0.020526942,,,,,0.020526942
190,-0.016742794,,,,,0.016742794
191,-0.031221274,,,,,0.031221274
192,-0.032866556,,,,,0.032866556
193,-0.033031084,,,,,0.033031084
194,-0.038131457,,,,,0.038131457
195,-0.045699753,,,,,0.045699753
196,-0.059849173,,,,,0.059849173
197,-0.077124625,,,,,0.077124625
198,-0.08535103,,,,,0.08535103
199,-0.08584461,,,,,0.08584461
200,-0.08255405,,,,,0.08255405
201,-0.08271858,,,,,0.08271858
202,-0.08123783,,,,,0.08123783
203,-0.07827632,,,,,0.07827632
204,-0.07021444,,,,,0.07021444
205,-0.058697477,,,,,0.058697477
206,-0.052609935,,,,,0.052609935
207,-0.028259767,,,,,0.028259767
208,0.000368138,,,,,-0.000368138
209,0.013365868,,,,,-0.013365868
210,0.018959828,,,,,-0.018959828
211,0.004645872,,,,,-0.004645872
212,-0.000289975,,,,,0.000289975
213,-0.013945815,,,,,0.013945815
214,-0.031714857,,,,,0.031714857
215,-0.051458236,,,,,0.051458236
216,-0.062152565,,,,,0.062152565
217,-0.05836842,,,,,0.05836842
218,-0.03846051,,,,,0.03846051
219,-0.035663534,,,,,0.035663534
220,-0.04323183,,,,,0.04323183
221,-0.051458236,,,,,0.051458236
222,-0.06313974,,,,,0.06313974
223,-0.07449218,,,,,0.07449218
224,-0.04931937,,,,,0.04931937
225,-0.030234104,,,,,0.030234104
226,-0.029411465,,,,,0.029411465
227,-0.044219,,,,,0.044219
228,-0.048332203,,,,,0.048332203
229,-0.046522394,,,,,0.046522394
230,-0.032208443,,,,,0.032208443
231,-0.022336753,,,,,0.022336753
232,-0.031056745,,,,,0.031056745
233,-0.037308816,,,,,0.037308816
234,-0.022172224,,,,,0.022172224
235,-0.023982035,,,,,0.023982035
236,-0.027437126,,,,,0.027437126
237,-0.03697976,,,,,0.03697976
238,-0.040105794,,,,,0.040105794
239,-0.03714429,,,,,0.03714429
240,-0.036650702,,,,,0.036650702
241,-0.05639408,,,,,0.05639408
242,-0.06577218,,,,,0.06577218
243,-0.060342755,,,,,0.060342755
244,-0.05557144,,,,,0.05557144
245,-0.044712584,,,,,0.044712584
246,-0.030398633,,,,,0.030398633
247,-0.031879388,,,,,0.031879388
248,-0.03961221,,,,,0.03961221
249,-0.060178228,,,,,0.060178228
250,-0.06363332,,,,,0.06363332
251,-0.06264615,,,,,0.06264615
252,-0.07613745,,,,,0.07613745
253,-0.08847707,,,,,0.08847707
254,-0.09061593,,,,,0.09061593
255,-0.08090877,,,,,0.08090877
256,-0.077782735,,,,,0.077782735
257,-0.074821234,,,,,0.074821234
258,-0.07136614,,,,,0.07136614
259,-0.053432576,,,,,0.053432576
260,-0.04405447,,,,,0.04405447
261,-0.037473343,,,,,0.037473343
262,-0.03681523,,,,,0.03681523
263,-0.044712584,,,,,0.044712584
264,-0.046522394,,,,,0.046522394
265,-0.02710807,,,,,0.02710807
266,-0.02513373,,,,,0.02513373
267,-0.010655251,,,,,0.010655251
268,0.003823231,,,,,-0.003823231
269,0.017972657,,,,,-0.017972657
