Time (Seconds),Amplitude (Volts),Time (Seconds)
1,-0.016985489,
2,-0.024553787,
3,-0.06387604,
4,-0.105501704,
5,-0.13380058,
6,-0.13018095,
7,-0.10829869,
8,-0.08082245,
9,-0.04709416,
10,-0.015175678,
11,-0.000368138,
12,-0.020769637,
13,-0.057623968,
14,-0.10352737,
15,-0.13363606,
16,-0.13412964,
17,-0.110273026,
18,-0.074076794,
19,-0.040513027,
20,-0.025540957,
21,-0.012378698,
22,-0.021592278,
23,-0.053181704,
24,-0.09826246,
25,-0.12738398,
26,-0.12837115,
27,-0.10517265,
28,-0.06700208,
29,-0.038867746,
30,-0.030312276,
31,-0.022250392,
32,-0.039361328,
33,-0.07654472,
34,-0.11603152,
35,-0.13445869,
36,-0.1321553,
37,-0.1101085,
38,-0.071937926,
39,-0.042651895,
40,-0.035248123,
41,-0.021921335,
42,-0.030641332,
43,-0.06683755,
44,-0.11060208,
45,-0.1385719,
46,-0.1374202,
47,-0.12080284,
48,-0.088884346,
49,-0.053839818,
50,-0.02702171,
51,-0.013859452,
52,-0.025047371,
53,-0.05729491,
54,-0.101717554,
55,-0.13363606,
56,-0.13478775,
57,-0.11208284,
58,-0.08296132,
59,-0.04758774,
60,-0.021592278,
61,-0.008100964,
62,-0.030147748,
63,-0.05054925,
64,-0.09135227,
65,-0.12606774,
66,-0.124916054,
67,-0.101717554,
68,-0.07457038,
69,-0.049397554,
70,-0.02702171,
71,-0.019453412,
72,-0.038867746,
73,-0.071937926,
74,-0.10977944,
75,-0.1374202,
76,-0.13528134,
77,-0.1135636,
78,-0.0770383,
79,-0.046600573,
80,-0.028831521,
81,-0.020111525,
82,-0.029654162,
83,-0.06700208,
84,-0.11438624,
85,-0.14367229,
86,-0.14186247,
87,-0.1222836,
88,-0.085758306,
89,-0.059104722,
90,-0.04577793,
91,-0.030970389,
92,-0.039854914,
93,-0.0793417,
94,-0.12590322,
95,-0.14975984,
96,-0.14416587,
97,-0.12359983,
98,-0.09052963,
99,-0.06042095,
100,-0.042816423,
101,-0.02899605,
102,-0.03755152,
103,-0.074241325,
104,-0.122448124,
105,-0.15140513,
106,-0.14400135,
107,-0.11109567,
108,-0.0706217,
109,-0.046436045,
110,-0.033109255,
111,-0.021756807,
112,-0.03574171,
113,-0.07095076,
114,-0.112411894,
115,-0.13906549,
116,-0.13462323,
117,-0.11043756,
118,-0.08246774,
119,-0.05367529,
120,-0.029818691,
121,-0.016985489,
122,-0.02060511,
123,-0.0543334,
124,-0.10286925,
125,-0.13626851,
126,-0.13478775,
127,-0.11274095,
128,-0.07819001,
129,-0.04133567,
130,-0.020111525,
131,-0.009910774,
132,-0.0252119,
133,-0.0630534,
134,-0.11076661,
135,-0.13774927,
136,-0.13231982,
137,-0.10747605,
138,-0.074899435,
139,-0.049068496,
140,-0.03080586,
141,-0.012707754,
142,-0.02340209,
143,-0.06766019,
144,-0.10977944,
145,-0.12902926,
146,-0.12985191,
147,-0.11224737,
148,-0.07654472,
149,-0.038867746,
150,-0.025705485,
151,-0.017479073,
152,-0.0327802,
153,-0.0770383,
154,-0.112411894,
155,-0.12952285,
156,-0.12458699,
157,-0.10977944,
158,-0.086416416,
159,-0.058940195,
160,-0.034260955,
161,-0.016985489,
162,-0.03245114,
163,-0.07226699,
164,-0.11389265,
165,-0.13495228,
166,-0.12392888,
167,-0.09595906,
168,-0.06469868,
169,-0.036728878,
170,-0.01682096,
171,-0.002836061,
172,-0.01961794,
173,-0.065850385,
174,-0.10846321,
175,-0.12952285,
176,-0.11668963,
177,-0.094971895,
178,-0.06568585,
179,-0.038045105,
180,-0.015833791,
181,-0.006949267,
182,-0.028666994,
183,-0.07259604,
184,-0.11191831,
185,-0.12738398,
186,-0.1153734,
187,-0.09365567,
188,-0.061901703,
189,-0.030147748,
190,-0.009088133,
191,-0.001519836,
192,-0.028502464,
193,-0.074076794,
194,-0.11833492,
195,-0.13923001,
196,-0.13149719,
197,-0.09826246,
198,-0.061737172,
199,-0.038209632,
200,-0.023073032,
201,-0.007936436,
202,-0.026363598,
203,-0.070292644,
204,-0.109614916,
205,-0.12952285,
206,-0.118828505,
207,-0.09612359,
208,-0.06979906,
209,-0.05137189,
210,-0.037057932,
211,-0.022250392,
212,-0.034754537,
213,-0.07670925,
214,-0.11899303,
215,-0.14252059,
216,-0.12985191,
217,-0.10435001,
218,-0.07078623,
219,-0.03738699,
220,-0.015011149,
221,-0.004645872,
222,-0.029489635,
223,-0.07588661,
224,-0.082632266,
225,-0.03491907,
226,0.04685145,
227,0.11216911,
228,0.1631728,
229,0.19361047,
230,0.2225674,
231,0.23655227,
232,0.22059307,
233,0.1855486,
234,0.15001056,
235,0.13701284,
236,0.15478188,
237,0.17896749,
238,0.20693724,
239,0.23227455,
240,0.2574473,
241,0.27472275,
242,0.26024428,
243,0.21763156,
244,0.17238636,
245,0.15001056,
246,0.16333733,
247,0.20117876,
248,0.23967831,
249,0.25810543,
250,0.2709386,
251,0.28229102,
252,0.2597507,
253,0.21598628,
254,0.17238636,
255,0.16152751,
256,0.1755124,
257,0.1960784,
258,0.22700965,
259,0.25580204,
260,0.27620348,
261,0.2896948,
262,0.26287675,
263,0.21203761,
264,0.16169205,
265,0.13487399,
266,0.123521544,
267,0.12319249,
268,0.1332287,
269,0.14129058,
270,0.14096151,
271,0.14112605,
272,0.10575251,
273,0.048825786,
274,0.00621299,
275,-0.007442852,
276,0.005390349,
277,0.028917879,
278,0.06462049,
279,0.09818422,
280,0.106575154,
281,0.114143446,
282,0.09834875,
283,0.05738125,
284,0.012465062,
285,-0.006291154,
286,0.003745067,
287,0.028095238,
288,0.06462049,
289,0.091932155,
290,0.114143446,
291,0.12862192,
292,0.113156274,
293,0.06922728,
294,0.023488449,
295,-0.00201342,
296,0.013452231,
297,0.04586428,
298,0.0810733,
299,0.10394271,
300,0.12023098,
301,0.12302796,
302,0.102132894,
303,0.0652786,
304,0.026779013,
305,0.008516384,
306,0.021185055,
307,0.04767409,
308,0.08255405,
309,0.11463703,
310,0.1325706,
311,0.13882266,
312,0.119079284,
313,0.0758084,
314,0.043889944,
315,0.040763907,
316,0.06264615,
317,0.10048761,
318,0.13668379,
319,0.16235016,
320,0.1778158,
321,0.1960784,
322,0.1837388,
323,0.14425208,
324,0.10196837,
325,0.083047636,
326,0.098513275,
327,0.13010266,
328,0.16251469,
329,0.18653578,
330,0.20693724,
331,0.22042854,
332,0.20858252,
333,0.1661343,
334,0.12302796,
335,0.106575154,
336,0.12467324,
337,0.15231395,
338,0.18735841,
339,0.22174476,
340,0.24625942,
341,0.26369938,
342,0.24477866,
343,0.2031531,
344,0.16004677,
345,0.13684832,
346,0.15050414,
347,0.17633504,
348,0.21680892,
349,0.24247527,
350,0.25646016,
351,0.2650156,
352,0.24642394,
353,0.20216593,
354,0.1602113,
355,0.14096151,
356,0.15955319,
357,0.19542028,
358,0.22750324,
359,0.258599,
360,0.2780133,
361,0.28262007,
362,0.25925714,
363,0.22487079,
364,0.18916823,
365,0.17913201,
366,0.19574934,
367,0.22700965,
368,0.26666087,
369,0.29841477,
370,0.32424563,
371,0.33790144,
372,0.32737166,
373,0.28344274,
374,0.23967831,
375,0.22503531,
376,0.25037262,
377,0.28656876,
378,0.3323075,
379,0.36323872,
380,0.3768945,
381,0.4111163,
382,0.37722358,
383,0.3418501,
384,0.2987438,
385,0.2821265,
386,0.29676947,
387,0.3270426,
388,0.36126438,
389,0.38413373,
390,0.40272537,
391,0.42115247,
392,0.4040416,
393,0.3559995,
394,0.31486753,
395,0.30038908,
396,0.32671353,
397,0.3655421,
398,0.40239632,
399,0.4260883,
400,0.43892148,
401,0.45060295,
402,0.43892148,
403,0.3951571,
404,0.35978362,
405,0.34695047,
406,0.36126438,
407,0.39384088,
408,0.43546638,
409,0.4640942,
410,0.4802179,
411,0.48696354,
412,0.46804288,
413,0.42477208,
414,0.3880824,
415,0.38298205,
416,0.41292608,
417,0.44813502,
418,0.48564732,
419,0.5109846,
420,0.53171504,
421,0.5405995,
422,0.5229951,
423,0.49239296,
424,0.46656212,
425,0.4588293,
426,0.47742096,
427,0.50506157,
428,0.55014217,
429,0.5904514,
430,0.6174339,
431,0.62483764,
432,0.6008166,
433,0.5563942,
434,0.5243113,
435,0.5188819,
436,0.53582823,
437,0.5738341,
438,0.60739774,
439,0.63273495,
440,0.64984584,
441,0.653959,
442,0.6360255,
443,0.61233354,
444,0.59801966,
445,0.61134636,
446,0.65494615,
447,0.7054561,
448,0.76797646,
449,0.8196381,
450,0.86126345,
451,0.8874233,
452,0.8819939,
453,0.86142796,
454,0.8726158,
455,0.93020034,
456,1.0192095,
457,1.1037765,
458,1.1812687,
459,1.235398,
460,1.2791622,
461,1.3026894,
462,1.2919953,
463,1.2738973,
464,1.2770233,
465,1.3143709,
466,1.3750813,
467,1.4336528,
468,1.4836689,
469,1.5252942,
470,1.5690583,
471,1.6087092,
472,1.6100254,
473,1.5973568,
474,1.5774491,
475,1.5721842,
476,1.6022927,
477,1.6391466,
478,1.6802782,
479,1.7135125,
480,1.7400013,
481,1.7513536,
482,1.7349011,
483,1.7023247,
484,1.6618513,
485,1.644576,
486,1.6580671,
487,1.6881754,
488,1.7281554,
489,1.7633641,
490,1.7857397,
491,1.7913336,
492,1.7613897,
493,1.7210808,
494,1.6796201,
495,1.6656353,
496,1.6881754,
497,1.7278264,
498,1.759909,
499,1.7757035,
500,1.7900174,
501,1.7933079,
502,1.762706,
503,1.7103865,
504,1.6802782,
505,1.6791265,
506,1.7108802,
507,1.7641867,
508,1.8324652,
509,1.881165,
510,1.9176899,
511,1.9476336,
512,1.9384202,
513,1.9012372,
514,1.8803424,
515,1.8979467,
516,1.9571762,
517,2.0310485,
518,2.1019592,
519,2.15905,
520,2.2136726,
521,2.249704,
522,2.2371998,
523,2.200017,
524,2.1728702,
525,2.1779704,
526,2.2192664,
527,2.2714212,
528,2.3345993,
529,2.3994226,
530,2.4568422,
531,2.5012643,
532,2.5132747,
533,2.5111358,
534,2.5070226,
535,2.525943,
536,2.5795786,
537,2.6406178,
538,2.7037957,
539,2.7615442,
540,2.8059664,
541,2.833113,
542,2.8314679,
543,2.8160024,
544,2.805308,
545,2.8332777,
546,2.9038591,
547,2.9940193,
548,3.1086938,
549,3.205764,
550,3.2710807,
551,3.2872043,
552,3.2640061,
553,3.2322526,
554,3.2126741,
555,3.2264943,
556,3.2696,
557,3.324387,
558,3.3837807,
559,3.4199765,
560,3.4576528,
561,3.4833188,
562,3.4640694,
563,3.429848,
564,3.4161923,
565,3.4334676,
566,3.4681826,
567,3.5256019,
568,3.5943737,
569,3.6448832,
570,3.6850274,
571,3.7129967,
572,3.6963797,
573,3.6606774,
574,3.6475155,
575,3.6588678,
576,3.6787753,
577,3.7047703,
578,3.740637,
579,3.7714033,
580,3.8253677,
581,3.3280065,
582,3.77601,
583,3.7208939,
584,3.685521,
585,3.6850274,
586,3.7116804,
587,3.737182,
588,3.7636707,
589,3.7896657,
590,3.8265193,
591,3.7768326,
592,3.7768326,
593,3.7235262,
594,3.6842046,
595,3.6700554,
596,3.68585,
597,3.6935825,
598,3.6935825,
599,3.6962152,
600,3.6942408,
601,3.667752,
602,3.6134586,
603,3.5501163,
604,3.5025685,
605,3.484306,
606,3.4913807,
607,3.504049,
608,3.516224,
609,3.5149078,
610,3.5106301,
611,3.4872675,
612,3.428861,
613,3.3617344,
614,3.3082635,
615,3.2811167,
616,3.2802942,
617,3.2939498,
618,3.3062892,
619,3.3153381,
620,3.3158317,
621,3.289343,
622,3.2034607,
623,3.1095164,
624,3.0575264,
625,3.0300505,
626,3.0010939,
627,2.9978034,
628,3.0160658,
629,3.0241275,
630,3.0256083,
631,3.0122817,
632,2.9510782,
633,2.8767123,
634,2.8211026,
635,2.7923107,
636,2.7794776,
637,2.772403,
638,2.763683,
639,2.746079,
640,2.7299554,
641,2.6922789,
642,2.630088,
643,2.562797,
644,2.506858,
645,2.4864569,
646,2.4958348,
647,2.5001125,
648,2.499619,
649,2.4973156,
650,2.4882667,
651,2.459639,
652,2.412091,
653,2.3398643,
654,2.269447,
655,2.2390096,
656,2.2462487,
657,2.2549686,
658,2.2630305,
659,2.2467425,
660,2.2103822,
661,2.1481912,
662,2.0504627,
663,1.9512533,
664,1.8821522,
665,1.8523729,
666,1.8408561,
667,1.8347685,
668,1.8347685,
669,1.8268713,
670,1.8059764,
671,1.772413,
672,1.7047926,
673,1.6391466,
674,1.5838656,
675,1.551454,
676,1.5280911,
677,1.5322043,
678,1.5479988,
679,1.5437212,
680,1.5341786,
681,1.5073608,
682,1.4453342,
683,1.3632354,
684,1.3112448,
