Time (Seconds),Amplitude (Volts) [Filtered 0.3-30.0Hz]
204230,-0.0011821945361082018
204231,-0.0010332795284683513
204232,-0.0009937541989088116
204233,-0.001011572188109856
204234,-0.0010365080834285935
204235,-0.0010722149157545136
204236,-0.0011299724496231227
204237,-0.0011729080666881804
204238,-0.0011398859666611066
204239,-0.0010247936454949053
204240,-0.0009078431819136627
204241,-0.0008771219349691997
204242,-0.0009389891094569691
204243,-0.0010284607955532887
204244,-0.0011021661899105512
204245,-0.0011892629709916091
204246,-0.0013321005285045866
204247,-0.0015122022939524113
204248,-0.0016571039242364019
204249,-0.001724346557326303
204250,-0.0017535509849333772
204251,-0.001801827922018075
204252,-0.001859219499853057
204253,-0.001858161094269169
204254,-0.0017680363360952412
204255,-0.0016510753317153025
204256,-0.0015947587086827526
204257,-0.0016205609543585365
204258,-0.001677499901502452
204259,-0.001719532029266856
204260,-0.0017669933034063202
204261,-0.0018639237370932636
204262,-0.002002747631673344
204263,-0.0021193498507816625
204264,-0.0021667152758893067
204265,-0.002163481658998076
204266,-0.0021419975921378107
204267,-0.002091344223534463
204268,-0.001973875610421106
204269,-0.0017874639558179148
204270,-0.001592830614251944
204271,-0.001451070468811021
204272,-0.001349644192005363
204273,-0.0012130381090515794
204274,-0.0009942095415621285
204275,-0.000734345988699267
204276,-0.0005084613024887598
204277,-0.0003414275771837144
204278,-0.00019552952325052044
204279,-4.2806980643356717e-05
204280,7.195683971817973e-05
204281,7.972843954550724e-05
204282,-2.595724895091637e-05
204283,-0.0001866142637919297
204284,-0.00036703002461053417
204285,-0.0006138129794719733
204286,-0.000993004237759936
204287,-0.0015009743804540092
204288,-0.002061858724579282
204289,-0.0026028751383977665
204290,-0.003108889329873911
204291,-0.0035873031372426808
204292,-0.0040053148817192795
204293,-0.004284343068728813
204294,-0.004368656298867675
204295,-0.004288947032090061
204296,-0.004136817778724041
204297,-0.003987548773951343
204298,-0.0038534139833025106
204299,-0.0037237649174173162
204300,-0.0036237565045144403
204301,-0.003581786559929477
204302,-0.003569762136942393
204303,-0.0035155445295368664
204304,-0.003381055015872423
204305,-0.0032087480601882684
204306,-0.0030661155880431197
204307,-0.002967592304526853
204308,-0.002871249685596461
204309,-0.0027579729918604367
204310,-0.0026826680274199804
204311,-0.002706027733855116
204312,-0.0028055980832620087
204313,-0.0028859759609744275
204314,-0.0028853009413149317
204315,-0.002840676287733007
204316,-0.0028127128127179227
204317,-0.0027932606748198702
204318,-0.0027247778850468425
204319,-0.002595276899157716
204320,-0.0024748664452634976
204321,-0.002433411900533709
204322,-0.002452168391401701
204323,-0.0024350330296797227
204324,-0.00231251865873839
204325,-0.0021220205376744836
204326,-0.001952794772981934
204327,-0.0018340695468983567
204328,-0.0017136789997184833
204329,-0.0015478471790104954
204330,-0.001373123431520895
204331,-0.0012601919644453041
204332,-0.001231612360825225
204333,-0.001249650264555817
204334,-0.001280615381270449
204335,-0.001346494732789649
204336,-0.0014854385984447418
204337,-0.0016799581297772769
204338,-0.001848839069730693
204339,-0.0019293575185830088
204340,-0.001946150016114928
204341,-0.001961047469093125
204342,-0.0019885319975866816
204343,-0.0019894566809401182
204344,-0.0019459659783546504
204345,-0.0019107246471301471
204346,-0.0019414970281382603
204347,-0.0020204433378840066
204348,-0.0020733002631925547
204349,-0.0020640718959573025
204350,-0.002041615037425538
204351,-0.0020714971165029144
204352,-0.0021555376618034123
204353,-0.002237541706188408
204354,-0.0022865353294581428
204355,-0.0023470666433312113
204356,-0.002473292960321711
204357,-0.0026430524985397853
204358,-0.0027653649116561457
204359,-0.002779186007369372
204360,-0.002720493458715805
204361,-0.002661195152484879
204362,-0.0026138590623253997
204363,-0.0025219701060059524
204364,-0.0023454278768592005
204365,-0.0021314456160896815
204366,-0.0019671738207791755
204367,-0.0018865104916008855
204368,-0.0018529665257359953
204369,-0.0018375898818501024
204370,-0.0018772282713505565
204371,-0.0020188248355271915
204372,-0.0022377956054941916
204373,-0.0024375379598900043
204374,-0.0025341273632650658
204375,-0.002529092490173889
204376,-0.002475387667379632
204377,-0.002400970398397048
204378,-0.0022972459621689537
204379,-0.0021761711947650333
204380,-0.002101316779820812
204381,-0.0021336823978971744
204382,-0.0022661731382032234
204383,-0.0024258899465589598
204384,-0.002549144700951573
204385,-0.0026359385124046703
204386,-0.0027051896637334716
204387,-0.0027349497582988946
204388,-0.002676085977877907
204389,-0.0025279641357789724
204390,-0.0023767397306349606
204391,-0.0023171460055530255
204392,-0.002356668553422048
204393,-0.0024246981087702483
204394,-0.002472582031918971
204395,-0.0025322375626861847
204396,-0.00264902163598199
204397,-0.0027913873788029545
204398,-0.0028577026784493667
204399,-0.0027828515182689137
204400,-0.002613016314909445
204401,-0.002438311521901619
204402,-0.0022878095089646027
204403,-0.0021256596076101204
204404,-0.0019429684122296413
204405,-0.001811901614717107
204406,-0.001814877846251076
204407,-0.0019520869705157884
204408,-0.0021413512322589453
204409,-0.002306568951337333
204410,-0.0024449580278631824
204411,-0.0025862911240295944
204412,-0.002716033607308024
204413,-0.002769288968508243
204414,-0.0027103517678781263
204415,-0.00258432575615037
204416,-0.0024596910336201513
204417,-0.002356619500450086
204418,-0.0022468192973031957
204419,-0.0021159395476831803
204420,-0.002007306120889264
204421,-0.0019762133256461135
204422,-0.002023527336707982
204423,-0.0020999951095997636
204424,-0.002173655327629263
204425,-0.0022665218673114966
204426,-0.002404434248186943
204427,-0.0025560165710235183
204428,-0.002645761198535455
204429,-0.0026397874009508873
204430,-0.0025948169455353516
204431,-0.0025896732523953206
204432,-0.002634669972525542
204433,-0.0026710712161780456
204434,-0.002660631137012064
204435,-0.0026467925705904376
204436,-0.0026906668024976104
204437,-0.002778194045911954
204438,-0.0028258882703252287
204439,-0.0027801403871191457
204440,-0.0026811487281121864
204441,-0.002596746874197179
204442,-0.002527013626643077
204443,-0.0024101049329512967
204444,-0.002220860849948611
204445,-0.0020259369387004736
204446,-0.0019115681437543333
204447,-0.0018904644345691557
204448,-0.0018990742617910415
204449,-0.0018839569434245108
204450,-0.0018675533544405408
204451,-0.0018975483984207666
204452,-0.0019641186418645185
204453,-0.0020006785490397166
204454,-0.001964345568253919
204455,-0.0018867778953251535
204456,-0.0018259120902229667
204457,-0.001797657182683575
204458,-0.001773277583456845
204459,-0.0017442714450669565
204460,-0.0017563618968607147
204461,-0.0018462473296024123
204462,-0.0019797486801103013
204463,-0.002076162114807935
204464,-0.0020930224177345916
204465,-0.0020665346792018632
204466,-0.0020465022197487504
204467,-0.0020246109175649147
204468,-0.0019503743784030137
204469,-0.0018146091057759637
204470,-0.001693224383790153
204471,-0.0016787755654425356
204472,-0.00178389723003316
204473,-0.0019325815291047525
204474,-0.0020525478697311908
204475,-0.0021487103935961226
204476,-0.0022594825553697746
204477,-0.002375028602624023
204478,-0.0024255215746272953
204479,-0.0023577526748921737
204480,-0.0022031931970453323
204481,-0.0020345614245455158
204482,-0.0018783933710633566
204483,-0.0017002582707376986
204484,-0.001474843571874252
204485,-0.0012415157559414365
204486,-0.0010635495964801396
204487,-0.0009533103058188869
204488,-0.0008585126387913459
204489,-0.000734790890192898
204490,-0.0006098945328402374
204491,-0.0005389496465011486
204492,-0.000528404574474972
204493,-0.0005350365828296955
204494,-0.0005373985148509827
204495,-0.0005796332452359773
204496,-0.0007101328577460418
204497,-0.000904494457156443
204498,-0.0010813901531544763
204499,-0.0011971864424829568
204500,-0.0012956329203512485
204501,-0.0014344106523787828
204502,-0.00159677718721032
204503,-0.0017042253234335909
204504,-0.0017121275677442047
204505,-0.0016644037486848162
204506,-0.0016312401306325507
204507,-0.0016255958336548007
204508,-0.0016000915372542633
204509,-0.00152302252742249
204510,-0.001434897766484538
204511,-0.0014008884962253291
204512,-0.001430743329356247
204513,-0.0014678123432419914
204514,-0.0014615648950263268
204515,-0.001429840745170986
204516,-0.0014202451014234433
204517,-0.001434627905188037
204518,-0.0014179480048015626
204519,-0.001327531727924258
204520,-0.0011845993229398846
204521,-0.0010281304756107551
204522,-0.0008509303837255077
204523,-0.0006081206906126523
204524,-0.0002980664248552474
204525,-1.471466225212454e-05
204526,0.00012154214975873589
204527,7.656419471518657e-05
204528,-7.635265766740233e-05
204529,-0.00025526861349396907
204530,-0.00044983976974246167
204531,-0.000668754847378513
204532,-0.0008612848113967878
204533,-0.0009376355801174029
204534,-0.0008673028695844322
204535,-0.0007241355481311172
204536,-0.0006059691072289714
204537,-0.0005388615671809531
204538,-0.00047948036136489505
204539,-0.0004083906158467848
204540,-0.000386472656104839
204541,-0.0004793726948236123
204542,-0.0006625030184418601
204543,-0.0008337287419423198
204544,-0.0009125310131743196
204545,-0.0009071199365758807
204546,-0.0008692541858574387
204547,-0.000811031093260839
204548,-0.0006941736561377949
204549,-0.0005096971032554081
204550,-0.00033595804458280134
204551,-0.0002764109236810938
204552,-0.0003622929081750878
204553,-0.0005353666932972926
204554,-0.0007233074305854673
204555,-0.0009099922929985652
204556,-0.0011087478297484438
204557,-0.0013017443604292516
204558,-0.0014328891154734421
204559,-0.0014630459389380632
204560,-0.0014143398719126778
204561,-0.0013334751722971236
204562,-0.0012330867601974237
204563,-0.0010933821702408574
204564,-0.0009275498585901401
204565,-0.0008102730879078874
204566,-0.0008026419729052991
204567,-0.0008777569330683235
204568,-0.0009400972668383704
204569,-0.0009249029137406895
204570,-0.0008639164136502895
204571,-0.0008217000282901192
204572,-0.0007999953081180215
204573,-0.0007377119955040644
204574,-0.0006031699166205058
204575,-0.00045495795003479625
204576,-0.0003798333576017568
