Time (Seconds),Amplitude (Volts) [Filtered 0.3-10.0Hz]
13993,-0.020199397914678466
13994,-0.020370926380629376
13995,-0.020512650002623933
13996,-0.020637569999382925
13997,-0.020755982818190903
13998,-0.02087046960611104
13999,-0.020973037986517125
14000,-0.02104666616180206
14001,-0.021071576541655722
14002,-0.021033307677186912
14003,-0.020928406942188282
14004,-0.02076520800892859
14005,-0.02056022160314165
14006,-0.02033251526072044
14007,-0.020098017437077377
14008,-0.01986472272898837
14009,-0.01963002709062351
14010,-0.019382053637023937
14011,-0.01910545972791232
14012,-0.01878915207401282
14013,-0.018431859790290724
14014,-0.018043042620723135
14015,-0.01763961644257027
14016,-0.017240854878958038
14017,-0.01686319591002554
14018,-0.016515529950008587
14019,-0.016196177459626614
14020,-0.0158938461005366
14021,-0.015593460177964251
14022,-0.015284149775560116
14023,-0.01496471696083999
14024,-0.014643826033410119
14025,-0.014335837088747989
14026,-0.014055136468539144
14027,-0.013811098506018546
14028,-0.013604397257076632
14029,-0.013425369345447188
14030,-0.013255875159422444
14031,-0.01307506746487519
14032,-0.01286683785589508
14033,-0.012625380946261824
14034,-0.012356432229621147
14035,-0.012074030130019463
14036,-0.0117945184864735
14037,-0.01153012308872882
14038,-0.011283831660336852
14039,-0.01104684415155631
14040,-0.010800354441766212
14041,-0.010522289212267768
14042,-0.010195978698288144
14043,-0.009816003887871474
14044,-0.009388855500057362
14045,-0.008929266982089611
14046,-0.00845451792750812
14047,-0.007978741915001702
14048,-0.007508272953776314
14049,-0.007039081587756362
14050,-0.006558252674126186
14051,-0.006050095922073781
14052,-0.005503959664307872
14053,-0.0049194444346187275
14054,-0.0043069230954235985
14055,-0.0036842882293250875
14056,-0.003072029863530338
14057,-0.0024880958010307904
14058,-0.001943258934522421
14059,-0.001438187709463139
14060,-0.0009642490615200446
14061,-0.0005088930143688211
14062,-6.333781878058338e-05
14063,0.0003716410122322662
14064,0.0007849118367590294
14065,0.0011591320545226748
14066,0.0014771805337432352
14067,0.0017281420225374895
14068,0.0019115144420483506
14069,0.0020388459805669844
14070,0.0021315965371244746
14071,0.0022148921521653615
14072,0.002309548227369373
14073,0.0024262456938426028
14074,0.002564096067537075
14075,0.002713221746700807
14076,0.0028598089303133855
14077,0.0029920602016471967
14078,0.0031056120571886572
14079,0.003206668458407924
14080,0.0033107257054088846
14081,0.0034364380988876975
14082,0.0035974644161510276
14083,0.0037964549223751037
14084,0.004023754473973794
14085,0.004260821446159706
14086,0.004486345614322698
14087,0.004682572440576506
14088,0.004840306436184901
14089,0.00496157231110952
14090,0.005058402109181933
14091,0.00514724613173971
14092,0.0052414595225473
14093,0.005345662987003504
14094,0.005454160126195004
14095,0.005553386156862706
14096,0.005627013273295794
14097,0.00566170011060829
14098,0.005651832547929995
14099,0.005602133725080141
14100,0.005526695184638745
14101,0.0054436749004736365
14102,0.005367827859786298
14103,0.0053049820300948725
14104,0.005250913129182068
14105,0.005194092162934462
14106,0.0051203962209917355
14107,0.0050182060677308
14108,0.0048829937135681034
14109,0.00472017053936752
14110,0.0045442635173627765
14111,0.004373509712460028
14112,0.004221975526168747
14113,0.004093544740068546
14114,0.0039808413152561915
14115,0.0038688258883687876
14116,0.0037407858717560293
14117,0.0035845089726027363
14118,0.0033972170213648753
14119,0.003187767763754899
14120,0.002974446297779031
14121,0.002778396521788828
14122,0.002615462146601511
14123,0.002490281620799171
14124,0.0023949722798723427
14125,0.002312211412023219
14126,0.0022211949885601297
14127,0.002104764063392781
14128,0.0019556678900696633
14129,0.0017795230812900041
14130,0.0015927032783084145
14131,0.0014156299924549956
14132,0.001264314728170124
14133,0.0011439313388588463
14134,0.0010472043662873446
14135,0.0009579006161862186
14136,0.000857383607887242
14137,0.0007316342955612483
14138,0.0005768984721863345
14139,0.0004023556943999543
14140,0.00022800065219568278
14141,7.768443565802936e-05
14142,-2.9483169374605774e-05
14143,-8.523599779776576e-05
14144,-9.379531810489207e-05
14145,-6.92590073907073e-05
14146,-2.9931259775411653e-05
14147,8.409585005146776e-06
14148,3.8258404892741946e-05
14149,6.34678765863584e-05
14150,9.782469909946044e-05
14151,0.00015875215968582865
14152,0.0002591759738877382
14153,0.0004018433947589788
14154,0.0005783147532453558
14155,0.0007722866381622293
14156,0.0009654784340668967
14157,0.0011440230915934352
14158,0.001303719923418786
14159,0.0014525176456363252
14160,0.0016085285664479343
14161,0.001793589823152755
14162,0.0020252345341262605
14163,0.002310960144977999
14164,0.0026468753228587327
14165,0.003020279296580352
14166,0.0034146065988650727
14167,0.003815130881593137
14168,0.004213875566876648
14169,0.004612141496761647
14170,0.005019208748658057
14171,0.00544684307062147
14172,0.005901628054881927
14173,0.006379322117120545
14174,0.0068643619202738305
14175,0.007333779588704565
14176,0.007762839595338182
14177,0.008130732860466441
14178,0.00842556017483639
14179,0.00864733799333715
14180,0.008807120566067358
14181,0.008921434845581371
14182,0.009004272609533874
14183,0.009060925177188628
14184,0.00908652852213555
14185,0.009068978318155096
14186,0.008994227647852472
14187,0.008852273511686872
14188,0.008642306146888455
14189,0.008374994046314579
14190,0.008070239440483021
14191,0.007750919674196163
14192,0.007435499397045124
14193,0.007132744577027031
14194,0.006840363075492307
14195,0.0065476934694086355
14196,0.006241123169669216
14197,0.005910119358061553
14198,0.0055519815486941345
14199,0.005173802884437381
14200,0.004790254329287845
14201,0.004417381694056677
14202,0.004065509074749159
14203,0.003735142247983438
14204,0.0034173745186827885
14205,0.0030978153887059956
14206,0.0027621471788831066
14207,0.0024014218176191485
14208,0.0020161070891678056
14209,0.001618086863506031
14210,0.0012286834385781863
14211,0.0008720462820147436
14212,0.000567066246310627
14213,0.0003220557456693543
14214,0.00013387359887755568
14215,-9.107838126904202e-06
14216,-0.00012161979520415459
14217,-0.0002156070540644422
14218,-0.00029559366270279306
