Time (Seconds),Amplitude (Volts) [Filtered 0.3-30.0Hz]
5.248,0.0021871725525764033
5.25,-0.0004852386099223347
5.252,-0.0033794578629809478
5.254,-0.006685144019607689
5.256,-0.010486538668443663
5.258,-0.014743112446374622
5.26,-0.01931703844038092
5.262,-0.02400214860970003
5.264,-0.02855086652540107
5.266,-0.03272208850750437
5.268,-0.03633611544972709
5.27,-0.03930829451526935
5.272,-0.04165446400976277
5.274,-0.04347275832340012
5.276,-0.04490779599574267
5.278,-0.04609812314879859
5.28,-0.04713383470468137
5.282,-0.048068589151033056
5.284,-0.048960398900985726
5.286,-0.04989142969082916
5.288,-0.050986405937492936
5.29,-0.05242515407019593
5.292,-0.054391213695341833
5.294,-0.05697936398862956
5.296,-0.06015084998013383
5.298,-0.0637499206040917
5.3,-0.06752749309044079
5.302,-0.07117139115055723
5.304,-0.07437613643868478
5.306,-0.07691931349710328
5.308,-0.07869103262844049
5.31,-0.07967552999396793
5.312,-0.07990935599424907
5.314,-0.07943363343869236
5.316,-0.0782623275248019
5.318,-0.07639041910692673
5.32,-0.07382298283126401
5.322,-0.07057657326709903
5.324,-0.06665968487767462
5.326,-0.06208216723579587
5.328,-0.056895987829608655
5.33,-0.05122932500187242
5.332,-0.045304875722954226
5.334,-0.039442197316720225
5.336,-0.03400736317756156
5.338,-0.029306745468134852
5.34,-0.025499987053998457
5.342,-0.022589548292156782
5.344,-0.020468925060595115
5.346,-0.018985496481140673
5.348,-0.01799202119758208
5.35,-0.017379041569666263
5.352,-0.01708482564106501
5.354,-0.017083451172112747
5.356,-0.01734537569876947
5.358,-0.017784592764697463
5.36,-0.018253745023917075
5.362,-0.01859069002856639
5.364,-0.018650071974077823
5.366,-0.01831246007186259
5.368,-0.01749662277893893
5.37,-0.016162761160264758
5.372,-0.01429326573877372
5.374,-0.011865684470602371
5.376,-0.008839779862988988
5.378,-0.005165184089532997
5.38,-0.0007980278290305506
5.382,0.004287732879367644
5.384,0.010089404068709347
5.386,0.016566161506833148
5.388,0.02364077936372113
5.39,0.03119866475431847
5.392,0.03909643223689598
5.394,0.047204344855324765
5.396,0.05544080020857868
5.398,0.0637577244293983
5.4,0.07209943711687058
5.402,0.0803704461562408
5.404,0.0884242565250436
5.406,0.09606173818537485
5.408,0.10303767046336286
5.41,0.10910884808296249
5.412,0.11412024053759093
5.414,0.11804653568639852
5.416,0.12095021159781735
5.418,0.12292852381184727
5.42,0.12409325027645772
5.422,0.12454144705792136
5.424,0.12432396994802672
5.426,0.12347147344722724
5.428,0.12205785581829404
5.43,0.12023269753354913
5.432,0.11821253205932578
5.434,0.11625206229287616
5.436,0.11459472152116354
5.438,0.11340967437611044
5.44,0.11276017593903864
5.442,0.112627500848353
5.444,0.11294388124346505
5.446,0.11359296480114148
5.448,0.1144060998779662
5.45,0.11519278741794987
5.452,0.11579299882561989
5.454,0.11611347091281038
