Time (Seconds),Amplitude (Volts) [Filtered 0.3-10.0Hz]
3560,-0.030103433895466783
3561,-0.029938559091662473
3562,-0.029702177699842524
3563,-0.02940252144728666
3564,-0.029048875699857767
3565,-0.028651468242092575
3566,-0.02822133790695598
3567,-0.02777018714200662
3568,-0.027310223412978594
3569,-0.02685399392965313
3570,-0.026414216739950865
3571,-0.026003609335922984
3572,-0.025634714358359022
3573,-0.02531972152482512
3574,-0.025070285826060593
3575,-0.02489734397979041
3576,-0.024810933300991503
3577,-0.024820018715196908
3578,-0.024932334059876927
3579,-0.02515424293077949
3580,-0.02549062237584975
3581,-0.025944770332178867
3582,-0.026518335678265684
3583,-0.027211268868908976
3584,-0.02802179160544847
3585,-0.0289463855349313
3586,-0.02997980182112491
3587,-0.031115094805762
3588,-0.03234368331353451
3589,-0.03365544216258773
3590,-0.03503882420515278
3591,-0.03648101032166702
3592,-0.03796808219476196
3593,-0.039485211294341675
3594,-0.04101685765642723
3595,-0.04254697340237907
3596,-0.04405920778533503
3597,-0.04553711212968274
3598,-0.046964343834848245
3599,-0.04832486839703903
3600,-0.04960315722175037
3601,-0.05078437733461926
3602,-0.05185456779771407
3603,-0.0528007975341032
3604,-0.05361130065328837
3605,-0.054275587824711494
3606,-0.05478453489208253
3607,-0.05513045190041175
3608,-0.055307136485712546
3609,-0.0553099150175695
3610,-0.0551356732195728
3611,-0.05478287581626086
3612,-0.05425157293904896
3613,-0.05354339035977293
3614,-0.05266150136248892
3615,-0.05161057980937662
3616,-0.05039673594897143
3617,-0.04902743802327997
3618,-0.04751142327437483
3619,-0.045858601402827284
3620,-0.04407995213384627
3621,-0.042187416869379324
3622,-0.04019378319443524
3623,-0.038112560887034144
3624,-0.035957849182188015
3625,-0.033744196892163306
3626,-0.031486458815800505
3627,-0.02919965300676206
3628,-0.02689882353649878
3629,-0.024598912299269818
3630,-0.02231464137626521
3631,-0.020060405060049344
3632,-0.017850168669906605
3633,-0.015697370548720415
3634,-0.01361482443250444
3635,-0.011614621353854278
3636,-0.009708032538703795
3637,-0.007905416513524374
3638,-0.006216134290099427
3639,-0.0046484758617481615
3640,-0.003209599554934729
3641,-0.001905483659575104
3642,-0.0007408880793025024
3643,0.0002806767513614337
3644,0.0011569755005250652
3645,0.001887067989318602
3646,0.0024713213986323652
3647,0.0029114108866714304
3648,0.00321030451672945
3649,0.003372229304821058
3650,0.0034026171848430993
3651,0.003308032193324189
3652,0.0030960823313437268
3653,0.0027753205559645777
3654,0.0023551388663276846
3655,0.0018456578165873243
3656,0.00125761180558797
3657,0.0006022290415563028
3658,-0.00010889521996433442
3659,-0.000863932552544508
3660,-0.0016509607486470054
3661,-0.002458104912687992
3662,-0.0032736749403531554
3663,-0.0040862939469986405
3664,-0.0048850135644634834
3665,-0.005659414337818778
3666,-0.006399691903719144
3667,-0.007096731454076584
3668,-0.007742173670902507
3669,-0.008328474694797425
3670,-0.008848960985326056
3671,-0.009297877768604162
3672,-0.009670428055341731
3673,-0.009962798782472379
3674,-0.010172171737859791
3675,-0.01029671905659183
3676,-0.010335585274984942
3677,-0.010288859341781538
3678,-0.01015754020596037
3679,-0.009943498684416066
3680,-0.009649436631663441
3681,-0.009278842553751221
3682,-0.008835941428065652
3683,-0.008325636234086376
3684,-0.0077534397506881375
3685,-0.007125397099888388
3686,-0.0064480015115269615
3687,-0.005728107097719575
3688,-0.004972842613222114
3689,-0.004189529144671857
3690,-0.0033856026982523133
3691,-0.0025685404085023355
3692,-0.0017457874627626602
3693,-0.000924681546664018
3694,-0.00011237281006724886
3695,0.0006842604939016148
3696,0.0014586983082785984
3697,0.0022048630758046382
3698,0.0029171976867766215
3699,0.0035907335105883464
3700,0.004221146763435477
3701,0.004804803703427937
3702,0.005338796937502725
3703,0.005820975693736885
3704,0.006249972013082375
3705,0.006625222887211476
3706,0.006946986266899231
3707,0.007216347398273938
3708,0.0074352116146424434
3709,0.00760628068414846
3710,0.007733011883565686
3711,0.007819561483918663
3712,0.007870716331754138
3713,0.007891817889308686
3714,0.007888682293968427
3715,0.00786751823695351
3716,0.007834842579461272
3717,0.007797392344284624
3718,0.0077620314462486725
3719,0.007735651327489306
3720,0.007725066314319049
3721,0.0077369064771769785
3722,0.007777512279306975
3723,0.007852835636136658
3724,0.00796835096790117
3725,0.008128977855335952
3726,0.008339014822859146
3727,0.008602082359301178
3728,0.00892107300704601
3729,0.009298107249142911
3730,0.009734495639230387
3731,0.01023070945995272
3732,0.010786363324743907
3733,0.011400212949154675
3734,0.012070169804003552
3735,0.012793332109561583
3736,0.013566029447373828
3737,0.014383876824930374
3738,0.01524183371356638
3739,0.016134264470313242
3740,0.017054998402502446
3741,0.01799738994633431
3742,0.018954381174246453
3743,0.019918569399706758
3744,0.0208822818356725
3745,0.021837657571862953
3746,0.02277673537932009
3747,0.023691544691705545
3748,0.02457419685353264
3749,0.025416974390936233
3750,0.02621241747912848
3751,0.026953408502902218
3752,0.02763325689096414
3753,0.028245786535262867
3754,0.028785426874071367
3755,0.029247306599913182
3756,0.029627346796081335
3757,0.029922348840974472
3758,0.030130072049956515
3759,0.030249296860520296
3760,0.030279871225239334
3761,0.030222740194263863
3762,0.030079960583780877
3763,0.029854703356668323
3764,0.029551245623908935
3765,0.029174952427346294
3766,0.02873224653613757
3767,0.028230563224393452
3768,0.02767828692016574
3769,0.02708466782929187
3770,0.0264597188115084
3771,0.025814095199948688
3772,0.025158962010777608
3773,0.02450585342222358
3774,0.023866528446986533
3775,0.02325282493547602
3776,0.02267651227648093
3777,0.02214914214288353
3778,0.021681896743012564
3779,0.02128543525809113
3780,0.020969741110384545
3781,0.02074397477607666
3782,0.02061633821089935
3783,0.02059395690925187
3784,0.02068278404391818
3785,0.020887528578350124
3786,0.0212116065976866
3787,0.02165711317687991
3788,0.022224811361308997
3789,0.022914135335271757
3790,0.0237232062903822
3791,0.02464886126829154
3792,0.025686696541851593
3793,0.02683112724100305
3794,0.02807546376133908
3795,0.029412003480800905
3796,0.030832134289852327
3797,0.032326445219083524
3798,0.03388483949825962
3799,0.035496646712933975
3800,0.037150732910900305
3801,0.03883560980494109
3802,0.040539545765566704
3803,0.04225068145403243
3804,0.04395715160552733
3805,0.045647212156825795
3806,0.047309369515040174
3807,0.04893250713619621
3808,0.05050600424736012
3809,0.05201984260446328
3810,0.05346469930276173
3811,0.05483202614211499
3812,0.05611411798885371
3813,0.05730417320973333
3814,0.058396348350184
3815,0.05938580723866182
3816,0.060268762510580866
3817,0.06104250603943866
3818,0.0617054245066477
3819,0.06225699749338227
3820,0.06269777771952445
3821,0.06302935558190631
3822,0.06325431193121286
3823,0.06337616333625684
3824,0.06339930285412636
3825,0.06332893715627366
3826,0.0631710186725549
3827,0.06293217004221062
3828,0.06261959808953788
3829,0.062240995804366976
3830,0.06180443298842291
3831,0.061318238570240165
3832,0.06079087921837632
3833,0.060230839158440554
3834,0.059646504948629955
3835,0.05904605691951416
3836,0.05843736690108681
3837,0.05782790056753267
3838,0.05722462271027849
3839,0.05663390500304258
3840,0.056061437889924126
3841,0.05551215032632585
3842,0.054990142375848226
3843,0.054498635543324306
3844,0.05403994419734324
3845,0.05361546904052639
3846,0.05322571113037515
3847,0.05287030319363528
3848,0.05254805436706037
3849,0.05225700508474279
3850,0.05199449029534507
3851,0.05175721092419825
3852,0.05154131472921502
3853,0.05134248779949451
3854,0.05115605676362152
3855,0.0509770997616164
3856,0.050800562184341
