Time (Seconds),Amplitude (Volts) [Filtered 0.3-10.0Hz]
10437,-0.3079924077583208
10438,-0.3076254182232747
10439,-0.30726411306014834
10440,-0.30691132896303386
10441,-0.3065710728331422
10442,-0.30624859054469566
10443,-0.3059504037482563
10444,-0.3056843125097073
10445,-0.3054593622540338
10446,-0.3052857744331344
10447,-0.3051748414692507
10448,-0.30513878764946234
10449,-0.3051905986102313
10450,-0.3053438228166321
10451,-0.30561234907281554
10452,-0.30601016469134384
10453,-0.3065510995443637
10454,-0.30724856178493587
10455,-0.30811527147919376
10456,-0.30916299865425734
10457,-0.31040231230583876
10458,-0.3118423467203191
10459,-0.31349059106317223
10460,-0.31535270758723977
10461,-0.31743238303936205
10462,-0.3197312168998772
10463,-0.3222486489644554
10464,-0.324981927489915
10465,-0.32792611778054037
10466,-0.3310741498245091
10467,-0.33441690245013067
10468,-0.3379433204136073
10469,-0.34164055982768793
10470,-0.3454941564702685
10471,-0.34948821091236293
10472,-0.35360558417504173
10473,-0.35782809777817415
10474,-0.36213673252172507
10475,-0.3665118210228161
10476,-0.3709332297623473
10477,-0.3753805270609151
10478,-0.379833133997816
10479,-0.38427045586463054
10480,-0.3886719923184067
10481,-0.3930174249008004
10482,-0.3972866809760822
10483,-0.401459973529031
10484,-0.40551781688344635
10485,-0.4094410193833343
10486,-0.4132106553328988
10487,-0.4168080198235402
10488,-0.4202145713494892
10489,-0.4234118682504349
10490,-0.4263815058906726
10491,-0.4291050619052911
10492,-0.4315640566991361
10493,-0.43373993569164443
10494,-0.4356140786513941
10495,-0.437167839965913
10496,-0.4383826219671052
10497,-0.43923998161146716
10498,-0.4397217690221929
10499,-0.43981029476559486
10500,-0.4394885213936292
10501,-0.438740273858356
10502,-0.43755046298508027
10503,-0.435905316347997
10504,-0.4337926116130282
10505,-0.4312019085041561
10506,-0.4281247766744987
10507,-0.42455501762542536
10508,-0.4204888792843532
10509,-0.4159252619190167
10510,-0.41086591376597215
10511,-0.4053156141221129
10512,-0.39928234076422336
10513,-0.3927774175766726
10514,-0.3858156373923869
10515,-0.3784153544687737
10516,-0.3705985408272536
10517,-0.362390800927442
10518,-0.35382133985698844
10519,-0.344922881396297
10520,-0.33573153386623034
10521,-0.326286603356591
10522,-0.3166303554794954
10523,-0.3068077280184487
10524,-0.2968659977676778
10525,-0.28685440558333514
10526,-0.27682374423451467
10527,-0.2668259140138298
10528,-0.2569134512804208
10529,-0.2471390353275984
10530,-0.23755497937308567
10531,-0.22821271209568977
10532,-0.21916225683214935
10533,-0.21045171607554913
10534,-0.20212676914848848
10535,-0.19423019086067278
10536,-0.18680139864209522
10537,-0.1798760350686922
10538,-0.17348559186457263
10539,-0.1676570804612187
10540,-0.16241275321213483
10541,-0.15776987860949265
10542,-0.1537405734246413
10543,-0.15033169450389278
10544,-0.14754479275771964
10545,-0.14537613146456296
10546,-0.14381677028230438
10547,-0.14285271533710658
10548,-0.14246513448937947
10549,-0.14263063544738958
10550,-0.1433216029540763
10551,-0.14450658994348403
10552,-0.14615075638008235
10553,-0.1482163484055405
10554,-0.15066320940539718
10555,-0.1534493137578044
10556,-0.15653131347174698
10557,-0.15986508773553404
10558,-0.16340628553425585
10559,-0.16711085184940683
10560,-0.17093552847171256
10561,-0.17483832118633902
10562,-0.17877892607913837
10563,-0.18271910890932236
10564,-0.18662303275029557
10565,-0.19045753028548712
10566,-0.19419231825628103
10567,-0.19780015272183304
10568,-0.20125692512562787
10569,-0.20454170063838512
10570,-0.2076367016949326
10571,-0.21052724092212682
10572,-0.21320160875754185
10573,-0.21565092205793612
10574,-0.21786894091826747
10575,-0.2198518616892547
