Time (Seconds),Amplitude (Volts) [Filtered 0.3-10.0Hz],,,,Time (Seconds),,,
0,-0.233960374,,,,,,,
0.002,-0.237195359,,,,,,,
0.004,-0.240795472,,,,,,,
0.006,-0.244764868,,,,,,,
0.008,-0.249103222,,,,,,,500
0.01,-0.253805458,,,,,,,
0.012,-0.258861525,,,,,,,
0.014,-0.264256228,,,,,,,
0.016,-0.269969138,,,,,,,
0.018,-0.275974566,,,,,,,
0.02,-0.282241589,,,,,,,
0.022,-0.288734146,,,,,,,
0.024,-0.295411175,,,,,,,
0.026,-0.302226788,,,,,,,
0.028,-0.309130507,,,,,,,
0.03,-0.316067545,,,,,,,
0.032,-0.322979145,,,,,,,
0.034,-0.329802985,,,,,,,
0.036,-0.33647365,,,,,,,
0.038,-0.342923151,,,,,,,
0.04,-0.349081499,,,,,,,
0.042,-0.354877307,,,,,,,
0.044,-0.360238406,,,,,,,
0.046,-0.365092477,,,,,,,
0.048,-0.369367677,,,,,,,
0.05,-0.37299328,,,,,,,
0.052,-0.375900314,,,,,,,
0.054,-0.378022211,,,,,,,
0.056,-0.379295455,,,,,,,
0.058,-0.379660234,,,,,,,
0.06,-0.379061063,,,,,,,
0.062,-0.377447395,,,,,,,
0.064,-0.374774184,,,,,,,
0.066,-0.371002403,,,,,,,
0.068,-0.366099518,,,,,,,
0.07,-0.360039916,,,,,,,
0.072,-0.352805291,,,,,,,
0.074,-0.344384985,,,,,,,
0.076,-0.334776284,,,,,,,
0.078,-0.323984663,,,,,,,
0.08,-0.312023956,,,,,,,
0.082,-0.298916457,,,,,,,
0.084,-0.284692915,,,,,,,
0.086,-0.269392435,,,,,,,
0.088,-0.253062273,,,,,,,
0.09,-0.235757528,,,,,,,
0.092,-0.217540744,,,,,,,
0.094,-0.198481418,,,,,,,
0.096,-0.178655432,,,,,,,
0.098,-0.158144413,,,,,,,
0.1,-0.137035001,,,,,,,
0.102,-0.11541806,,,,,,,
0.104,-0.093387806,,,,,,,
0.106,-0.07104088,,,,,,,
0.108,-0.048475376,,,,,,,
0.11,-0.025789844,,,,,,,
0.112,-0.003082298,,,,,,,
0.114,0.019550756,,,,,,,
0.116,0.042015244,,,,,,,
0.118,0.064220399,,,,,,,
0.12,0.086079562,,,,,,,
0.122,0.107510923,,,,,,,
0.124,0.128438176,,,,,,,
0.126,0.148791108,,,,,,,
0.128,0.168506083,,,,,,,
0.13,0.187526432,,,,,,,
0.132,0.205802726,,,,,,,
0.134,0.223292923,,,,,,,
0.136,0.239962394,,,,,,,
0.138,0.25578382,,,,,,,
0.14,0.270736983,,,,,,,
0.142,0.284808452,,,,,,,
0.144,0.29799119,,,,,,,
0.146,0.310284093,,,,,,,
0.148,0.321691471,,,,,,,
0.15,0.332222485,,,,,,,
0.152,0.341890544,,,,,,,
0.154,0.350712684,,,,,,,
0.156,0.35870893,,,,,,,
0.158,0.365901669,,,,,,,
0.16,0.372315051,,,,,,,
0.162,0.377974433,,,,,,,
0.164,0.38290588,,,,,,,
0.166,0.387135739,,,,,,,
0.168,0.390690268,,,,,,,
0.17,0.393595337,,,,,,,
0.172,0.39587617,,,,,,,
0.174,0.39755713,,,,,,,
0.176,0.398661547,,,,,,,
0.178,0.399211575,,,,,,,
0.18,0.399228092,,,,,,,
0.182,0.398730644,,,,,,,
0.184,0.397737437,,,,,,,
0.186,0.396265378,,,,,,,
0.188,0.394330154,,,,,,,
0.19,0.391946347,,,,,,,
0.192,0.389127566,,,,,,,
0.194,0.385886583,,,,,,,
0.196,0.382235478,,,,,,,
0.198,0.378185779,,,,,,,
0.2,0.373748601,,,,,,,
0.202,0.368934799,,,,,,,
0.204,0.363755126,,,,,,,
0.206,0.358220404,,,,,,,
0.208,0.3523417,,,,,,,
0.21,0.346130507,,,,,,,
0.212,0.339598901,,,,,,,
0.214,0.332759682,,,,,,,
0.216,0.325626488,,,,,,,
0.218,0.318213876,,,,,,,
0.22,0.31053738,,,,,,,
0.222,0.302613555,,,,,,,
0.224,0.29446001,,,,,,,
0.226,0.286095429,,,,,,,
0.228,0.277539597,,,,,,,
0.23,0.268813398,,,,,,,
0.232,0.259938808,,,,,,,
0.234,0.250938864,,,,,,,
0.236,0.241837597,,,,,,,
0.238,0.232659952,,,,,,,
0.24,0.223431681,,,,,,,
0.242,0.214179216,,,,,,,
0.244,0.204929537,,,,,,,
0.246,0.195710018,,,,,,,
0.248,0.186548259,,,,,,,
0.25,0.17747189,,,,,,,
0.252,0.168508344,,,,,,,
0.254,0.159684595,,,,,,,
0.256,0.151026857,,,,,,,
0.258,0.142560259,,,,,,,
0.26,0.134308502,,,,,,,
0.262,0.126293518,,,,,,,
0.264,0.118535138,,,,,,,
0.266,0.111050785,,,,,,,
0.268,0.103855196,,,,,,,
0.27,0.096960173,,,,,,,
0.272,0.090374357,,,,,,,
0.274,0.084103038,,,,,,,
0.276,0.078147998,,,,,,,
0.278,0.072507401,,,,,,,
0.28,0.06717574,,,,,,,
0.282,0.062143853,,,,,,,
0.284,0.057399036,,,,,,,
0.286,0.052925224,,,,,,,
0.288,0.048703268,,,,,,,
0.29,0.04471129,,,,,,,
0.292,0.040925085,,,,,,,
0.294,0.03731859,,,,,,,
0.296,0.03386438,,,,,,,
0.298,0.030534191,,,,,,,
0.3,0.027299475,,,,,,,
0.302,0.024131961,,,,,,,
0.304,0.021004233,,,,,,,
0.306,0.017890297,,,,,,,
0.308,0.014766129,,,,,,,
0.31,0.011610179,,,,,,,
0.312,0.008403806,,,,,,,
0.314,0.00513164,,,,,,,
0.316,0.001781841,,,,,,,
0.318,-0.001653731,,,,,,,
0.32,-0.00517944,,,,,,,
0.322,-0.00879589,,,,,,,
0.324,-0.012500008,,,,,,,
0.326,-0.016285204,,,,,,,
0.328,-0.020141591,,,,,,,
0.33,-0.024056275,,,,,,,
0.332,-0.028013694,,,,,,,
0.334,-0.03199602,,,,,,,
0.336,-0.035983599,,,,,,,
0.338,-0.039955422,,,,,,,
0.34,-0.043889598,,,,,,,
0.342,-0.047763831,,,,,,,
0.344,-0.051555851,,,,,,,
0.346,-0.055243816,,,,,,,
0.348,-0.05880667,,,,,,,
0.35,-0.062224458,,,,,,,
0.352,-0.065478599,,,,,,,
0.354,-0.068552125,,,,,,,
0.356,-0.071429885,,,,,,,
0.358,-0.074098709,,,,,,,
0.36,-0.076547527,,,,,,,
0.362,-0.078767435,,,,,,,
0.364,-0.080751714,,,,,,,
0.366,-0.082495786,,,,,,,
0.368,-0.083997139,,,,,,,
0.37,-0.085255204,,,,,,,
0.372,-0.086271224,,,,,,,
0.374,-0.087048109,,,,,,,
0.376,-0.087590291,,,,,,,
0.378,-0.087903578,,,,,,,
0.38,-0.087995013,,,,,,,
0.382,-0.087872739,,,,,,,
0.384,-0.087545853,,,,,,,
0.386,-0.08702428,,,,,,,
0.388,-0.08631864,,,,,,,
0.39,-0.08544015,,,,,,,
0.392,-0.084400538,,,,,,,
0.394,-0.083211983,,,,,,,
