Time (Seconds),Amplitude (Volts) [Filtered 0.3-10.0Hz]
9788,-0.11360525008214165
9789,-0.11275241962799079
9790,-0.11201203623411812
9791,-0.11139342036400796
9792,-0.11090363888260915
9793,-0.11054733841213234
9794,-0.11032586356704827
9795,-0.11023631327020607
9796,-0.11027121430821271
9797,-0.11041856704205288
9798,-0.11066250895412877
9799,-0.11098487114021584
9800,-0.11136667911573056
9801,-0.11178905145126089
9802,-0.1122341055086398
9803,-0.1126861053710867
9804,-0.11313266430037451
9805,-0.11356595262819585
9806,-0.11398330914174633
9807,-0.1143866496414992
9808,-0.11478156646321763
9809,-0.11517727014855061
9810,-0.11558672878938549
9811,-0.11602569777293993
9812,-0.11651074392321359
9813,-0.11705753064272002
9814,-0.1176800185493456
9815,-0.11839002990941902
9816,-0.1191968392652056
9817,-0.1201069412902844
9818,-0.1211235265895377
9819,-0.12224538900150975
9820,-0.12346593432226655
9821,-0.12477271476085053
9822,-0.12614714020282358
9823,-0.12756404568618562
9824,-0.1289916653511996
9825,-0.13039302461119262
9826,-0.13172852670184074
9827,-0.1329580872445101
9828,-0.13404166244437954
9829,-0.13493853013787263
9830,-0.13560638805752567
9831,-0.13600076386131257
9832,-0.13607461523346767
9833,-0.13577834751437817
9834,-0.13506067224924487
9835,-0.1338701266479405
9836,-0.13215699771455053
9837,-0.12987611265900553
9838,-0.12699063112052583
9839,-0.12347550935815697
9840,-0.11931912513586002
9841,-0.11452329604643953
9842,-0.1091032611241662
9843,-0.10308825275168432
9844,-0.09652155013623061
9845,-0.08945884195074245
9846,-0.08196496020943701
9847,-0.07410977113920175
9848,-0.06596389439299014
9849,-0.057594665660925665
9850,-0.04906265897978139
9851,-0.04041938122743895
9852,-0.03170690557697477
9853,-0.02295940577661562
9854,-0.01420574380893648
9855,-0.005471877580655593
9856,0.0032180929689753363
9857,0.011841973188542354
9858,0.02037912545394982
9859,0.028809352271403937
9860,0.03711222671136971
9861,0.04526762887291011
9862,0.05325639908630349
9863,0.061059705711952614
9864,0.06865790645972726
9865,0.07603059336006657
9866,0.08315729868430795
9867,0.09001753719739355
9868,0.09659066146577232
9869,0.10285623089678764
9870,0.10879464742567549
9871,0.11438791512675597
9872,0.1196203281167936
9873,0.12447919204555896
9874,0.12895644130308567
9875,0.133050718068617
9876,0.13676788953705996
9877,0.1401192702688763
9878,0.14311904849648624
9879,0.14578260951888095
9880,0.14812614421606857
9881,0.1501669833829451
9882,0.15192362926440678
9883,0.1534148735165607
9884,0.15465917641829244
9885,0.1556759081832943
9886,0.15648802370802065
9887,0.15712414661800062
9888,0.15761832403016005
9889,0.15800744613436207
9890,0.15832800497893143
9891,0.15861393825968936
9892,0.15889595353585562
9893,0.15920109471884789
9894,0.1595514657666203
9895,0.1599628883369542
