Time (Seconds),Amplitude (Volts) [Filtered 0.3-10.0Hz],,,Time (Seconds),,,Amplitude (Volts) [Filtered 0.3-10.0Hz]
0.002,0.090017537,,,9867,,,-0.090017537
0.004,0.096590661,,,9868,,,-0.096590661
0.006,0.102856231,,,9869,,,-0.102856231
0.008,0.108794647,,,9870,,,-0.108794647
0.01,0.114387915,,,9871,,-1,-0.114387915
0.012,0.119620328,,,9872,,,-0.119620328
0.014,0.124479192,,,9873,,,-0.124479192
0.016,0.128956441,,,9874,,,-0.128956441
0.018,0.133050718,,,9875,,,-0.133050718
0.02,0.13676789,,,9876,,,-0.13676789
0.022,0.14011927,,,9877,,,-0.14011927
0.024,0.143119048,,,9878,,,-0.143119048
0.026,0.14578261,,,9879,,,-0.14578261
0.028,0.148126144,,,9880,,,-0.148126144
0.03,0.150166983,,,9881,,,-0.150166983
0.032,0.151923629,,,9882,,,-0.151923629
0.034,0.153414874,,,9883,,,-0.153414874
0.036,0.154659176,,,9884,,,-0.154659176
0.038,0.155675908,,,9885,,,-0.155675908
0.04,0.156488024,,,9886,,,-0.156488024
0.042,0.157124147,,,9887,,,-0.157124147
0.044,0.157618324,,,9888,,,-0.157618324
0.046,0.158007446,,,9889,,,-0.158007446
0.048,0.158328005,,,9890,,,-0.158328005
0.05,0.158613938,,,9891,,,-0.158613938
0.052,0.158895954,,,9892,,,-0.158895954
0.054,0.159201095,,,9893,,,-0.159201095
0.056,0.159551466,,,9894,,,-0.159551466
0.058,0.159962888,,,9895,,,-0.159962888
0.06,0.160444812,,,9896,,,-0.160444812
0.062,0.161001196,,,9897,,,-0.161001196
0.064,0.161630814,,,9898,,,-0.161630814
0.066,0.162326745,,,9899,,,-0.162326745
0.068,0.163076435,,,9900,,,-0.163076435
0.07,0.163862817,,,9901,,,-0.163862817
0.072,0.164665861,,,9902,,,-0.164665861
0.074,0.165463949,,,9903,,,-0.165463949
0.076,0.166234559,,,9904,,,-0.166234559
0.078,0.166954423,,,9905,,,-0.166954423
0.08,0.167600238,,,9906,,,-0.167600238
0.082,0.168150357,,,9907,,,-0.168150357
0.084,0.168586147,,,9908,,,-0.168586147
0.086,0.168891612,,,9909,,,-0.168891612
