Time (Seconds),Amplitude (Volts) [Filtered 0.3-10.0Hz]
7324,-0.025346736568898118
7325,-0.03091615337096537
7326,-0.03688958759272368
7327,-0.043246435997583384
7328,-0.04996521001283143
7329,-0.057023054738821743
7330,-0.06439495053454404
7331,-0.07205197422585535
7332,-0.07995986094426377
7333,-0.0880792972249026
7334,-0.0963671744757674
7335,-0.10477732618767394
7336,-0.11326056310797078
7337,-0.12176460976323313
7338,-0.1302346332798155
7339,-0.13861472871605035
7340,-0.14684982947631614
7341,-0.15488710011635368
7342,-0.16267646513679973
7343,-0.17017065179270421
7344,-0.17732554507881393
7345,-0.18410159476301707
7346,-0.1904654487868299
7347,-0.19638995013899974
7348,-0.2018529449532171
7349,-0.20683688138218104
7350,-0.2113294970113769
7351,-0.21532507263255585
7352,-0.218825766662373
7353,-0.22184191777811132
7354,-0.22439097475677203
7355,-0.2264961141900349
7356,-0.22818520883072
7357,-0.22948989708126832
7358,-0.2304446009824091
7359,-0.2310855560525927
7360,-0.23144983583593104
7361,-0.2315743330892257
7362,-0.23149458643453902
7363,-0.23124334621856416
7364,-0.23084902737883103
7365,-0.23033449454292376
7366,-0.22971643096987715
7367,-0.22900495669787976
7368,-0.22820350434785958
7369,-0.22730968745560026
7370,-0.22631702194126854
7371,-0.22521617460052956
7372,-0.2239955299528068
7373,-0.2226422398867062
7374,-0.2211437520246384
7375,-0.21948882877498774
7376,-0.21766793691519695
7377,-0.21567336076268506
7378,-0.2134992484395874
7379,-0.21114189856344445
7380,-0.2086005664203274
7381,-0.205878483125144
7382,-0.20298339463566883
7383,-0.1999275275629444
7384,-0.19672706224812836
7385,-0.1934009836792632
7386,-0.18997009829676229
7387,-0.18645700834021844
7388,-0.18288629542021234
7389,-0.1792841527705117
7390,-0.17567786751599287
7391,-0.17209545613485655
7392,-0.1685652812173503
7393,-0.16511586761175837
7394,-0.1617759781573718
7395,-0.15857404591029717
7396,-0.1555361750756691
7397,-0.15268329462603342
7398,-0.15002886525250636
7399,-0.1475777007970464
7400,-0.145325392503212
7401,-0.1432579597435233
7402,-0.14135151902438844
7403,-0.13957207087131696
7404,-0.1378766924790127
7405,-0.13621695576654064
7406,-0.1345434077787026
7407,-0.1328096916759414
7408,-0.130975802331042
7409,-0.12901026361209925
7410,-0.12689117487407678
7411,-0.12460643272335674
7412,-0.1221531256558417
7413,-0.11953591613342172
7414,-0.11676508015568533
7415,-0.11385493269646976
7416,-0.11082237295414245
7417,-0.10768520693747624
7418,-0.10446090857905393
7419,-0.10116673271677207
7420,-0.0978206442593743
7421,-0.09444148596059176
7422,-0.09104766867146159
7423,-0.08765516500340548
7424,-0.08427637361735336
7425,-0.08092038441213639
7426,-0.07759355766609786
7427,-0.07429941242263005
7428,-0.07103768376204563
7429,-0.06780347858267388
7430,-0.06458799856095074
7431,-0.06138053107259954
7432,-0.05817035091311813
7433,-0.054948668272250464
7434,-0.051710742357215914
7435,-0.04845703367209517
7436,-0.04519312221632403
7437,-0.04192898709862872
7438,-0.03867770936450428
7439,-0.03545416191272256
7440,-0.03227450522166296
7441,-0.029155544376057385
7442,-0.026113043940900124
7443,-0.023160403353236964
7444,-0.020309218203842197
7445,-0.017571622911377482
7446,-0.014963312443739663
7447,-0.012505495913064726
7448,-0.010224542683615723
7449,-0.008149741303529578
7450,-0.006310452000040115
7451,-0.004733858758294046
7452,-0.003443665711589411
7453,-0.0024589838257743635
7454,-0.0017930740245513804
7455,-0.0014525586993270334
7456,-0.0014373808341782701
7457,-0.00174131315245242
7458,-0.0023529387084934156
7459,-0.003256449875563755
7460,-0.0044315161050735435
7461,-0.0058532577057713725
7462,-0.0074932929665712245
7463,-0.009320751050255538
7464,-0.011302810092212123
7465,-0.013405434751001505
7466,-0.015593730463191235
7467,-0.017831330414040517
7468,-0.020079802945367528
7469,-0.022299099348645005
7470,-0.024449115880376945
7471,-0.026492211542524305
7472,-0.02839610605569154
7473,-0.030135853386305797
7474,-0.03169425528748385
7475,-0.033061657228350846
7476,-0.03423606403518517
7477,-0.03522290644553945
7478,-0.03603359713328062
7479,-0.03668360108186809
7480,-0.037191139499043416
7481,-0.03757658117579492
7482,-0.03786198460587266
7483,-0.038070255680719034
7484,-0.03822339301301318
7485,-0.03833999268184969
7486,-0.03843329006140998
7487,-0.03851038870153821
7488,-0.0385719858825266
7489,-0.03861249114741362
7490,-0.03862098000118634
7491,-0.03858222013450675
7492,-0.03847700857434955
7493,-0.038282559362898524
7494,-0.03797329660125308
7495,-0.03752158639031719
7496,-0.036899082626727295
7497,-0.03607917376715193
7498,-0.03503909927942492
7499,-0.03376095496267735
7500,-0.03223269437624231
7501,-0.030449260681274487
7502,-0.02841266072108385
7503,-0.02613114201487994
7504,-0.023618596299670933
7505,-0.02089428251354636
7506,-0.017982257552563316
7507,-0.014910116970019316
7508,-0.011707248099991463
7509,-0.008403423369216387
7510,-0.005028414471132864
7511,-0.0016127196304231012
7512,0.001811128860028488
7513,0.005207886257862587
7514,0.008540058949455781
7515,0.01176854506369475
7516,0.014853212816021186
7517,0.01775438688208654
7518,0.020435182613929903
7519,0.02286395538760773
7520,0.025016473721134025
7521,0.02687707742031431
7522,0.02843874170643168
7523,0.029703182246470033
7524,0.03068119407719913
7525,0.03139219674837526
7526,0.03186288380948815
7527,0.03212579630708161
7528,0.032217668911303954
7529,0.03217657058975967
7530,0.03203782824625509
7531,0.03183032768416698
7532,0.03157507584159126
7533,0.031286080054509835
7534,0.03097184740686232
7535,0.030636270659394907
7536,0.030279079589044883
7537,0.029896884857892436
7538,0.029485702106957043
7539,0.029044221928527833
7540,0.02857581700744341
7541,0.028088607411884056
7542,0.02759445006740871
7543,0.027107733236663434
7544,0.0266451666494546
7545,0.026226890728518804
7546,0.02587658793822223
7547,0.025619316258504388
7548,0.025479495778416586
7549,0.025480347234865697
7550,0.025643178941583425
7551,0.02598627653437334
7552,0.026524410493114922
7553,0.02726883743654454
7554,0.028227438280348738
7555,0.029404666516288425
7556,0.030800517888645393
7557,0.03240881683867758
7558,0.03421657296215733
7559,0.036205099121608436
7560,0.03835174206243794
7561,0.04063131368500808
7562,0.043017200059839125
7563,0.04548224739802914
7564,0.04799926488020945
7565,0.05054055396044306
7566,0.05307666051210541
7567,0.055575558498622474
7568,0.05800232813504291
7569,0.060318946222537875
7570,0.062484995346506186
7571,0.06445944272650016
7572,0.06620246071151926
7573,0.06767677883648213
7574,0.06884881087585554
7575,0.06969026788984843
7576,0.07018073604322683
7577,0.07031012984594204
7578,0.07007930030234712
7579,0.06949912067055954
7580,0.06858974880887127
7581,0.0673799579409672
7582,0.06590559276612537
7583,0.06420788903459698
7584,0.06233227249244372
7585,0.060326980218055826
7586,0.058241355536897424
7587,0.056124454797611106
7588,0.05402434790746298
7589,0.05198762856120959
7590,0.05005844229283596
7591,0.04827722010035265
7592,0.04667940462994093
7593,0.04529392063055364
7594,0.044141859363772226
7595,0.04323646136436794
7596,0.042584189838860725
7597,0.04218586982486061
7598,0.04203768405973428
7599,0.04213143022217568
7600,0.04245329844131002
7601,0.04298293000645041
7602,0.043694810911432624
7603,0.044560756357821085
7604,0.045551456513534996
7605,0.04663709583967515
7606,0.04778778360063628
7607,0.04897450628809159
7608,0.05017114283747458
7609,0.05135628347521458
7610,0.0525127851828856
7611,0.05362558503693535
7612,0.05468000168472745
7613,0.055661259483444525
7614,0.05655497033436227
7615,0.05734839987855346
7616,0.058031519488287706
7617,0.05859701665133921
7618,0.05903993212264681
7619,0.059357257001429686
7620,0.0595469235921432
7621,0.05960605586630613
7622,0.059528679697231426
7623,0.05930364183131834
7624,0.05891391572751004
7625,0.05833732324404335
7626,0.05754756122134062
7627,0.05651487881936426
7628,0.05520711734232171
7629,0.05359230569185436
7630,0.05164187121484089
7631,0.04933180429033604
7632,0.04664166662805827
7633,0.0435539578431616
7634,0.040054713059002094
7635,0.036134040715716784
7636,0.0317860938807305
7637,0.02700890394272877
7638,0.02180389582174186
7639,0.016175380406091795
7640,0.010131334419954265
7641,0.0036853625349252336
7642,-0.0031417449736083763
7643,-0.010321207390546233
7644,-0.01781571730683617
7645,-0.025579296793568764
7646,-0.033557383514959724
7647,-0.04168698576429195
7648,-0.04989755706697069
7649,-0.058113277933179594
7650,-0.06625680611034408
7651,-0.07425361727462415
7652,-0.08203576524133145
7653,-0.08954461678307876
7654,-0.09673241559268135
7655,-0.10356261917326068
7656,-0.11000942699748481
7657,-0.11605654325661416
7658,-0.12169471247976478
7659,-0.1269189126490476
7660,-0.13172691084177277
7661,-0.13611884321387194
7662,-0.1400961758023916
7663,-0.14366023070937434
7664,-0.14681171527340525
7665,-0.14955137122694917
7666,-0.15188087773976475
7667,-0.15380338583644965
7668,-0.1553234637272274
7669,-0.1564469361055511
7670,-0.1571811528342722
7671,-0.15753532472363643
7672,-0.15752041305945258
7673,-0.1571488767494439
7674,-0.15643466982427381
7675,-0.15539302568142266
7676,-0.15403985656893296
7677,-0.15239192276442104
7678,-0.15046832420982467
7679,-0.1482916424709981
7680,-0.14588738502460902
7681,-0.1432831994267823
7682,-0.14050924259767475
7683,-0.13759826789509122
7684,-0.13458429607872008
7685,-0.131501049550616
7686,-0.12838065416683764
7687,-0.12525210180102922
7688,-0.12214045512472062
7689,-0.11906793497335451
7690,-0.11605634183813847
7691,-0.11312965641864155
7692,-0.11031531257514045
7693,-0.10764298496587452
7694,-0.10514216980627474
7695,-0.1028406512751947
7696,-0.10076350329718203
7697,-0.09893115558819111
7698,-0.0973569648355734
7699,-0.096046066228346
7700,-0.09499598831085315
7701,-0.09419775349817684
7702,-0.09363638579294604
7703,-0.09329097725696328
7704,-0.09313487766022642
7705,-0.09313642451880517
7706,-0.09326020203410741
7707,-0.09346792777184385
7708,-0.09371838917611881
7709,-0.09396765455501738
7710,-0.09417047757406427
7711,-0.09428152201866068
7712,-0.09425543576111815
7713,-0.09404688123659403
7714,-0.0936113104321094
7715,-0.09290639028991761
7716,-0.09189424073831587
7717,-0.09054381502082438
7718,-0.0888318837978317
7719,-0.08674268500784627
7720,-0.08426768263310026
7721,-0.0814055843785573
7722,-0.07816205663793682
7723,-0.07454953228352822
7724,-0.07058721306257029
7725,-0.0663007345444855
7726,-0.06172156757264317
7727,-0.056886183640836585
7728,-0.051834376567624366
7729,-0.0466069889295354
7730,-0.04124432106180857
7731,-0.035785809860269774
7732,-0.030270298315423536
7733,-0.024735576935529156
7734,-0.019216746727094676
7735,-0.01374447082529398
7736,-0.008343845049391119
7737,-0.0030336888926428413
7738,0.0021735145314020765
7739,0.007270999444694337
7740,0.01225704153900023
7741,0.01713358481191088
7742,0.02190354002820749
7743,0.026568598571744553
7744,0.031128594319981884
7745,0.03558077186593704
7746,0.03991873902006625
7747,0.04413271238619283
7748,0.048210805994888015
7749,0.05213987514376486
7750,0.05590561298180141
7751,0.059492288126615236
7752,0.06288271106201218
7753,0.06605898498280362
7754,0.06900362592691996
7755,0.07170035584416502
7756,0.07413461425725447
7757,0.07629394169072838
7758,0.07816786092367746
7759,0.0797468575665127
7760,0.08102096852734132
7761,0.08197914910044798
7762,0.08260995829162394
7763,0.08290319388974943
7764,0.08285217085296732
7765,0.08245651523728777
7766,0.08172454788190513
7767,0.0806745231150381
7768,0.07933544360880553
7769,0.07774727229041235
7770,0.07595877320398817
7771,0.07402328244230819
7772,0.07199473602344408
7773,0.06992453937551642
7774,0.06785856089582193
7775,0.06583439700084728
7776,0.06387937160146351
7777,0.062009899848421736
7778,0.06023289117363747
7779,0.058548550929903076
7780,0.05695315445770686
7781,0.05544137047586158
7782,0.05400854973307691
7783,0.05265282266520216
7784,0.051376254599995674
7785,0.05018476231354429
7786,0.049087133849954175
7787,0.04809370206046674
7788,0.04721501476937918
7789,0.0464606821597173
7790,0.04583872985573248
7791,0.045355500203281475
7792,0.04501590624085646
7793,0.044824002216616206
7794,0.044783384762540596
7795,0.04489688005289667
7796,0.045166178366987275
7797,0.04559220779153438
7798,0.04617540183376268
7799,0.04691485184110136
7800,0.04780701427111698
7801,0.048844714771153055
7802,0.050016374293181703
7803,0.051305987393620814
7804,0.05269415192318471
7805,0.05415926872625477
7806,0.055678707949358586
7807,0.05723057181151341
7808,0.05879575649014768
7809,0.06035933288624183
7810,0.061910531414076736
7811,0.06344104444647165
7812,0.06494225222555174
7813,0.06640288992273255
7814,0.0678084400171274
7815,0.06914212368992873
7816,0.07038619211091607
7817,0.0715230830302201
7818,0.07253760096255076
7819,0.0734203395160977
7820,0.0741704990495297
7821,0.07479672500363109
7822,0.07531645361323551
7823,0.07575484118455375
7824,0.07614391853970623
7825,0.0765218275493867
7826,0.0769314885135626
7827,0.07741863095646324
7828,0.07802987346231673
7829,0.07881111083906495
7830,0.07980578623684621
7831,0.08105327186473085
7832,0.08258801573619415
7833,0.08443892950058557
7834,0.0866285340973453
7835,0.08917263187609072
7836,0.09208027039714567
7837,0.09535289712460526
7838,0.09898328871729699
7839,0.1029553495146367
7840,0.1072444572807216
7841,0.11181770891737172
7842,0.11663437456853579
7843,0.12164724867308188
7844,0.1268046374234639
7845,0.1320520697874006
7846,0.13733384057372078
7847,0.14259509269574278
7848,0.14778401342513803
7849,0.15285354562793402
7850,0.15776282286894291
7851,0.16247781129345415
7852,0.1669707805684801
7853,0.17122010454708778
7854,0.17521123550199783
7855,0.17893786012765603
7856,0.18240268614739294
7857,0.18561766543855218
7858,0.18860343817467198
7859,0.19138864433753108
7860,0.19400898986901366
7861,0.19650488120276505
7862,0.19891836639592972
7863,0.20129115031575548
7864,0.20366342753171943
7865,0.2060726407819792
7866,0.20855220188121118
7867,0.21113054798518652
7868,0.21383091776047505
