Time (Seconds),Amplitude (Volts) [Filtered 0.3-10.0Hz],,,,Time (Seconds)
0,-0.097706208,,,,11079
0.002,-0.099758541,,,,11080
0.004,-0.101814609,,,,11081
0.006,-0.103863876,,,,11082
0.008,-0.105897221,,,,11083
0.01,-0.10790746,,,,11084
0.012,-0.109887851,,,,11085
0.014,-0.111830079,,,,11086
0.016,-0.113724609,,,,11087
0.018,-0.115562844,,,,11088
0.02,-0.117338674,,,,11089
0.022,-0.119048832,,,,11090
0.024,-0.12069302,,,,11091
0.026,-0.122274277,,,,11092
0.028,-0.123798869,,,,11093
0.03,-0.125275066,,,,11094
0.032,-0.126711119,,,,11095
0.034,-0.128113325,,,,11096
0.036,-0.129485064,,,,11097
0.038,-0.130827199,,,,11098
0.04,-0.132139172,,,,11099
0.042,-0.133419685,,,,11100
0.044,-0.134666772,,,,11101
0.046,-0.135877998,,,,11102
0.048,-0.137050896,,,,11103
0.05,-0.138182743,,,,11104
0.052,-0.139268982,,,,11105
0.054,-0.140300418,,,,11106
0.056,-0.141260504,,,,11107
0.058,-0.142124898,,,,11108
0.06,-0.142863877,,,,11109
0.062,-0.14344569,,,,11110
0.064,-0.14383868,,,,11111
0.066,-0.144012118,,,,11112
0.068,-0.143937416,,,,11113
0.07,-0.143590538,,,,11114
0.072,-0.142953908,,,,11115
0.074,-0.142016064,,,,11116
0.076,-0.140770167,,,,11117
0.078,-0.139213239,,,,11118
0.08,-0.137346031,,,,11119
0.082,-0.135172595,,,,11120
0.084,-0.132699631,,,,11121
0.086,-0.129935999,,,,11122
0.088,-0.12689215,,,,11123
0.09,-0.123579236,,,,11124
0.092,-0.12000823,,,,11125
0.094,-0.1161894,,,,11126
0.096,-0.112132024,,,,11127
0.098,-0.107844177,,,,11128
0.1,-0.103332786,,,,11129
0.102,-0.098604034,,,,11130
0.104,-0.093663673,,,,11131
0.106,-0.088517093,,,,11132
0.108,-0.083169236,,,,11133
0.11,-0.077623903,,,,11134
0.112,-0.071882452,,,,11135
0.114,-0.065943084,,,,11136
0.116,-0.059801665,,,,11137
0.118,-0.053453525,,,,11138
0.12,-0.046895221,,,,11139
0.122,-0.040125673,,,,11140
0.124,-0.033146226,,,,11141
0.126,-0.025959916,,,,11142
0.128,-0.018571215,,,,11143
0.13,-0.010986788,,,,11144
0.132,-0.003216566,,,,11145
0.134,0.004725199,,,,11146
0.136,0.01281864,,,,11147
0.138,0.02103702,,,,11148
0.14,0.029345935,,,,11149
0.142,0.037703256,,,,11150
0.144,0.046060261,,,,11151
0.146,0.054363679,,,,11152
0.148,0.062557676,,,,11153
0.15,0.070585166,,,,11154
0.152,0.078388531,,,,11155
0.154,0.085910266,,,,11156
0.156,0.093093876,,,,11157
0.158,0.099885024,,,,11158
0.16,0.106233177,,,,11159
0.162,0.112094059,,,,11160
0.164,0.117432432,,,,11161
0.166,0.12222407,,,,11162
0.168,0.12645597,,,,11163
0.17,0.13012529,,,,11164
0.172,0.13323839,,,,11165
0.174,0.135810144,,,,11166
0.176,0.137862225,,,,11167
0.178,0.139419879,,,,11168
0.18,0.140508939,,,,11169
0.182,0.141155294,,,,11170
0.184,0.14138634,,,,11171
0.186,0.141232188,,,,11172
0.188,0.140725892,,,,11173
0.19,0.139903258,,,,11174
0.192,0.138802637,,,,11175
0.194,0.137464753,,,,11176
0.196,0.135931927,,,,11177
0.198,0.134246214,,,,11178
0.2,0.132447284,,,,11179
0.202,0.130571165,,,,11180
0.204,0.128649706,,,,11181
0.206,0.126709782,,,,11182
0.208,0.124771957,,,,11183
0.21,0.122848965,,,,11184
0.212,0.120944472,,,,11185
0.214,0.119052982,,,,11186
0.216,0.117160977,,,,11187
0.218,0.115248538,,,,11188
0.22,0.113291777,,,,11189
0.222,0.111267083,,,,11190
0.224,0.10915647,,,,11191
0.226,0.106951564,,,,11192
0.228,0.104654564,,,,11193
0.23,0.102277053,,,,11194
0.232,0.099838222,,,,11195
0.234,0.097362452,,,,11196
0.236,0.094875901,,,,11197
0.238,0.092402856,,,,11198
0.24,0.089962569,,,,11199
0.242,0.087567096,,,,11200
0.244,0.085221035,,,,11201
0.246,0.082922974,,,,11202
0.248,0.080667072,,,,11203
0.25,0.078444005,,,,11204
0.252,0.076241811,,,,11205
0.254,0.074047155,,,,11206
0.256,0.071846826,,,,11207
0.258,0.069628558,,,,11208
0.26,0.067380567,,,,11209
0.262,0.065090548,,,,11210
0.264,0.062745552,,,,11211
0.266,0.060332999,,,,11212
0.268,0.057841825,,,,11213
0.27,0.055262763,,,,11214
0.272,0.052588152,,,,11215
0.274,0.049812446,,,,11216
0.276,0.046933366,,,,11217
0.278,0.04395233,,,,11218
0.28,0.040874024,,,,11219
0.282,0.037706331,,,,11220
0.284,0.034460481,,,,11221
0.286,0.031150258,,,,11222
0.288,0.027790665,,,,11223
0.29,0.024397066,,,,11224
0.292,0.020984719,,,,11225
0.294,0.017568612,,,,11226
0.296,0.014163925,,,,11227
0.298,0.010787109,,,,11228
0.3,0.007457385,,,,11229
0.302,0.004197912,,,,11230
0.304,0.001035279,,,,11231
0.306,-0.002002626,,,,11232
0.308,-0.004888481,,,,11233
0.31,-0.007596596,,,,11234
0.312,-0.010104736,,,,11235
0.314,-0.012397209,,,,11236
0.316,-0.014467315,,,,11237
0.318,-0.016317389,,,,11238
0.32,-0.01795679,,,,11239
0.322,-0.019399632,,,,11240
0.324,-0.020663397,,,,11241
0.326,-0.021768278,,,,11242
0.328,-0.022736532,,,,11243
0.33,-0.023591269,,,,11244
0.332,-0.024355102,,,,11245
0.334,-0.025049458,,,,11246
0.336,-0.025694234,,,,11247
0.338,-0.026307646,,,,11248
0.34,-0.026906813,,,,11249
0.342,-0.027508456,,,,11250
0.344,-0.028128513,,,,11251
0.346,-0.028781201,,,,11252
0.348,-0.029478757,,,,11253
0.35,-0.030231317,,,,11254
0.352,-0.031045901,,,,11255
0.354,-0.031925756,,,,11256
0.356,-0.032871534,,,,11257
0.358,-0.033883006,,,,11258
0.36,-0.034959586,,,,11259
0.362,-0.036099636,,,,11260
0.364,-0.037298865,,,,11261
0.366,-0.038548639,,,,11262
0.368,-0.039835199,,,,11263
0.37,-0.041139711,,,,11264
0.372,-0.042439012,,,,11265
0.374,-0.043707467,,,,11266
0.376,-0.04491954,,,,11267
0.378,-0.046052298,,,,11268
0.38,-0.047087362,,,,11269
0.382,-0.048011698,,,,11270
0.384,-0.048817311,,,,11271
0.386,-0.049500907,,,,11272
0.388,-0.050063756,,,,11273
0.39,-0.050511534,,,,11274
0.392,-0.050854516,,,,11275
0.394,-0.051107889,,,,11276
0.396,-0.051291735,,,,11277
0.398,-0.051430738,,,,11278
0.4,-0.05155298,,,,11279
0.402,-0.051687394,,,,11280
0.404,-0.05186159,,,,11281
0.406,-0.052101174,,,,11282
0.408,-0.052428776,,,,11283
0.41,-0.052862115,,,,11284
0.412,-0.053413047,,,,11285
0.414,-0.054087591,,,,11286
0.416,-0.054885422,,,,11287
0.418,-0.055799663,,,,11288
0.42,-0.05681833,,,,11289
0.422,-0.05792674,,,,11290
0.424,-0.059109514,,,,11291
0.426,-0.060351405,,,,11292
0.428,-0.061637072,,,,11293
0.43,-0.062950699,,,,11294
0.432,-0.064276194,,,,11295
0.434,-0.065597492,,,,11296
0.436,-0.066898333,,,,11297
0.438,-0.06816177,,,,11298
0.44,-0.069370408,,,,11299
0.442,-0.070507919,,,,11300
0.444,-0.071561366,,,,11301
0.446,-0.07252328,,,,11302
0.448,-0.073392714,,,,11303
0.45,-0.074175004,,,,11304
0.452,-0.074880953,,,,11305
0.454,-0.075526824,,,,11306
