Time (Seconds),Amplitude (Volts) [Filtered 0.3-10.0Hz],,,,,Time (Seconds)
0,-0.0034687,,,,,3064
0.002,-0.003380467,,,,,3065
0.004,-0.00327196,,,,,3066
0.006,-0.003140655,,,,,3067
0.008,-0.002984187,,,,,3068
0.01,-0.002800402,,,,,3069
0.012,-0.002587413,,,,,3070
0.014,-0.00234365,,,,,3071
0.016,-0.002067917,,,,,3072
0.018,-0.001759429,,,,,3073
0.02,-0.001417852,,,,,3074
0.022,-0.001043317,,,,,3075
0.024,-0.000636427,,,,,3076
0.026,-0.000198245,,,,,3077
0.028,0.00026972,,,,,3078
0.03,0.000765543,,,,,3079
0.032,0.001286904,,,,,3080
0.034,0.001831119,,,,,3081
0.036,0.002395176,,,,,3082
0.038,0.002975764,,,,,3083
0.04,0.00356932,,,,,3084
0.042,0.004172081,,,,,3085
0.044,0.004780135,,,,,3086
0.046,0.005389487,,,,,3087
0.048,0.005996111,,,,,3088
0.05,0.006596008,,,,,3089
0.052,0.007185248,,,,,3090
0.054,0.00776001,,,,,3091
0.056,0.008316615,,,,,3092
0.058,0.008851556,,,,,3093
0.06,0.009361531,,,,,3094
0.062,0.009843475,,,,,3095
0.064,0.010294598,,,,,3096
0.066,0.010712425,,,,,3097
0.068,0.01109482,,,,,3098
0.07,0.011440019,,,,,3099
0.072,0.011746642,,,,,3100
0.074,0.012013695,,,,,3101
0.076,0.012240575,,,,,3102
0.078,0.012427056,,,,,3103
0.08,0.01257329,,,,,3104
0.082,0.012679795,,,,,3105
0.084,0.012747456,,,,,3106
0.086,0.012777515,,,,,3107
0.088,0.012771564,,,,,3108
0.09,0.01273152,,,,,3109
0.092,0.012659606,,,,,3110
0.094,0.01255831,,,,,3111
0.096,0.012430344,,,,,3112
0.098,0.012278605,,,,,3113
0.1,0.012106133,,,,,3114
0.102,0.011916072,,,,,3115
0.104,0.011711639,,,,,3116
0.106,0.011496096,,,,,3117
0.108,0.011272718,,,,,3118
0.11,0.01104476,,,,,3119
0.112,0.010815422,,,,,3120
0.114,0.010587814,,,,,3121
0.116,0.010364914,,,,,3122
0.118,0.010149536,,,,,3123
0.12,0.009944303,,,,,3124
0.122,0.009751629,,,,,3125
0.124,0.00957371,,,,,3126
0.126,0.009412518,,,,,3127
0.128,0.0092698,,,,,3128
0.13,0.009147074,,,,,3129
0.132,0.00904562,,,,,3130
0.134,0.008966468,,,,,3131
0.136,0.008910384,,,,,3132
0.138,0.008877858,,,,,3133
0.14,0.008869095,,,,,3134
0.142,0.008884018,,,,,3135
0.144,0.008922271,,,,,3136
0.146,0.008983237,,,,,3137
0.148,0.009066048,,,,,3138
0.15,0.009169603,,,,,3139
0.152,0.009292576,,,,,3140
0.154,0.00943343,,,,,3141
0.156,0.00959042,,,,,3142
0.158,0.009761613,,,,,3143
0.16,0.009944905,,,,,3144
0.162,0.010138055,,,,,3145
0.164,0.010338723,,,,,3146
0.166,0.010544523,,,,,3147
0.168,0.010753076,,,,,3148
0.17,0.010962061,,,,,3149
0.172,0.011169271,,,,,3150
0.174,0.011372651,,,,,3151
0.176,0.01157035,,,,,3152
0.178,0.011760759,,,,,3153
0.18,0.011942551,,,,,3154
0.182,0.012114727,,,,,3155
0.184,0.012276651,,,,,3156
0.186,0.012428083,,,,,3157
0.188,0.012569199,,,,,3158
0.19,0.012700594,,,,,3159
0.192,0.01282327,,,,,3160
0.194,0.012938601,,,,,3161
0.196,0.013048289,,,,,3162
0.198,0.013154302,,,,,3163
0.2,0.013258809,,,,,3164
0.202,0.013364115,,,,,3165
0.204,0.013472586,,,,,3166
0.206,0.013586578,,,,,3167
0.208,0.013708363,,,,,3168
0.21,0.013840049,,,,,3169
0.212,0.013983507,,,,,3170
0.214,0.01414029,,,,,3171
0.216,0.014311564,,,,,3172
0.218,0.014498053,,,,,3173
0.22,0.014699996,,,,,3174
0.222,0.014917124,,,,,3175
0.224,0.015148659,,,,,3176
0.226,0.015393322,,,,,3177
0.228,0.015649363,,,,,3178
0.23,0.015914588,,,,,3179
0.232,0.016186396,,,,,3180
0.234,0.01646182,,,,,3181
0.236,0.016737576,,,,,3182
0.238,0.017010105,,,,,3183
0.24,0.017275646,,,,,3184
0.242,0.017530295,,,,,3185
0.244,0.017770087,,,,,3186
0.246,0.017991074,,,,,3187
0.248,0.018189404,,,,,3188
0.25,0.018361394,,,,,3189
0.252,0.01850359,,,,,3190
0.254,0.018612819,,,,,3191
0.256,0.018686235,,,,,3192
0.258,0.018721354,,,,,3193
0.26,0.018716086,,,,,3194
0.262,0.018668765,,,,,3195
0.264,0.018578182,,,,,3196
0.266,0.018443607,,,,,3197
0.268,0.018264802,,,,,3198
0.27,0.018042037,,,,,3199
0.272,0.017776075,,,,,3200
0.274,0.017468163,,,,,3201
0.276,0.017120004,,,,,3202
0.278,0.016733728,,,,,3203
0.28,0.016311858,,,,,3204
0.282,0.015857284,,,,,3205
0.284,0.015373229,,,,,3206
0.286,0.014863222,,,,,3207
0.288,0.014331058,,,,,3208
0.29,0.013780759,,,,,3209
0.292,0.013216521,,,,,3210
0.294,0.012642651,,,,,3211
0.296,0.012063504,,,,,3212
0.298,0.011483415,,,,,3213
0.3,0.010906627,,,,,3214
0.302,0.010337233,,,,,3215
0.304,0.009779115,,,,,3216
0.306,0.009235893,,,,,3217
0.308,0.008710874,,,,,3218
0.31,0.008206998,,,,,3219
0.312,0.007726794,,,,,3220
0.314,0.007272328,,,,,3221
0.316,0.006845166,,,,,3222
0.318,0.006446333,,,,,3223
0.32,0.0060763,,,,,3224
0.322,0.005734974,,,,,3225
0.324,0.005421711,,,,,3226
0.326,0.005135334,,,,,3227
0.328,0.004874171,,,,,3228
0.33,0.00463609,,,,,3229
0.332,0.004418546,,,,,3230
0.334,0.004218628,,,,,3231
0.336,0.004033117,,,,,3232
0.338,0.003858546,,,,,3233
0.34,0.003691269,,,,,3234
0.342,0.003527546,,,,,3235
0.344,0.003363621,,,,,3236
0.346,0.003195811,,,,,3237
0.348,0.003020586,,,,,3238
0.35,0.002834649,,,,,3239
0.352,0.002634991,,,,,3240
0.354,0.002418948,,,,,3241
0.356,0.002184244,,,,,3242
0.358,0.001929028,,,,,3243
0.36,0.001651905,,,,,3244
0.362,0.001351965,,,,,3245
0.364,0.001028814,,,,,3246
0.366,0.000682596,,,,,3247
0.368,0.000314,,,,,3248
0.37,-7.57E-05,,,,,3249
0.372,-0.000484802,,,,,3250
0.374,-0.000910912,,,,,3251
0.376,-0.001351254,,,,,3252
0.378,-0.001802567,,,,,3253
0.38,-0.002261163,,,,,3254
0.382,-0.002722961,,,,,3255
0.384,-0.00318352,,,,,3256
0.386,-0.003638066,,,,,3257
0.388,-0.004081532,,,,,3258
0.39,-0.004508598,,,,,3259
0.392,-0.004913746,,,,,3260
0.394,-0.005291318,,,,,3261
0.396,-0.005635588,,,,,3262
0.398,-0.005940838,,,,,3263
0.4,-0.006201424,,,,,3264
0.402,-0.006411853,,,,,3265
0.404,-0.006566851,,,,,3266
0.406,-0.006661428,,,,,3267
0.408,-0.006690952,,,,,3268
0.41,-0.006651214,,,,,3269
0.412,-0.006538506,,,,,3270
0.414,-0.006349696,,,,,3271
0.416,-0.006082295,,,,,3272
0.418,-0.005734523,,,,,3273
