Time (Seconds),Amplitude (Volts) [Filtered 0.3-30.0Hz],,,,Time (Seconds)
0.002,-0.054135675,,,,6.344
0.004,-0.056708262,,,,6.346
0.006,-0.058807656,,,,6.348
0.008,-0.060500958,,,,6.35
0.01,-0.061871403,,,,6.352
0.012,-0.06300688,,,,6.354
0.014,-0.063996419,,,,6.356
0.016,-0.064926407,,,,6.358
0.018,-0.065869157,,,,6.36
0.02,-0.066842017,,,,6.362
0.022,-0.067766443,,,,6.364
0.024,-0.068485634,,,,6.366
0.026,-0.068836582,,,,6.368
0.028,-0.068725771,,,,6.37
0.03,-0.068153192,,,,6.372
0.032,-0.067167828,,,,6.374
0.034,-0.065824851,,,,6.376
0.036,-0.064211655,,,,6.378
0.038,-0.062494636,,,,6.38
0.04,-0.060905678,,,,6.382
0.042,-0.059667475,,,,6.384
0.044,-0.058912433,,,,6.386
0.046,-0.058647236,,,,6.388
0.048,-0.058771822,,,,6.39
0.05,-0.059126651,,,,6.392
0.052,-0.059554278,,,,6.394
0.054,-0.059942026,,,,6.396
0.056,-0.060206704,,,,6.398
0.058,-0.060259201,,,,6.4
0.06,-0.060001118,,,,6.402
0.062,-0.059340258,,,,6.404
0.064,-0.058199175,,,,6.406
0.066,-0.056520187,,,,6.408
0.068,-0.054270841,,,,6.41
0.07,-0.051449888,,,,6.412
0.072,-0.048111034,,,,6.414
0.074,-0.044392197,,,,6.416
0.076,-0.040500083,,,,6.418
0.078,-0.036656276,,,,6.42
0.08,-0.033067282,,,,6.422
0.082,-0.029931004,,,,6.424
0.084,-0.027431064,,,,6.426
0.086,-0.025701696,,,,6.428
0.088,-0.024790513,,,,6.43
0.09,-0.024634963,,,,6.432
0.092,-0.025068402,,,,6.434
0.094,-0.025869045,,,,6.436
0.096,-0.026823089,,,,6.438
0.098,-0.027756239,,,,6.44
0.1,-0.028508233,,,,6.442
0.102,-0.028888772,,,,6.444
0.104,-0.02869921,,,,6.446
0.106,-0.027803055,,,,6.448
0.108,-0.02614046,,,,6.45
0.11,-0.023673145,,,,6.452
0.112,-0.020327436,,,,6.454
0.114,-0.015983447,,,,6.456
0.116,-0.010533166,,,,6.458
0.118,-0.00396448,,,,6.46
0.12,0.003623217,,,,6.462
0.122,0.012060565,,,,6.464
0.124,0.02110764,,,,6.466
0.126,0.030421752,,,,6.468
0.128,0.039601995,,,,6.47
0.13,0.048326808,,,,6.472
0.132,0.056466482,,,,6.474
0.134,0.064064466,,,,6.476
0.136,0.071218604,,,,6.478
0.138,0.077976899,,,,6.48
0.14,0.084313043,,,,6.482
0.142,0.09017027,,,,6.484
0.144,0.095525334,,,,6.486
0.146,0.100418884,,,,6.488
0.148,0.104937182,,,,6.49
0.15,0.109175124,,,,6.492
0.152,0.113205698,,,,6.494
0.154,0.117053408,,,,6.496
0.156,0.120659102,,,,6.498
0.158,0.123845259,,,,6.5
0.16,0.126336723,,,,6.502
0.162,0.127870247,,,,6.504
0.164,0.128311686,,,,6.506
0.166,0.127665957,,,,6.508
0.168,0.125991067,,,,6.51
0.17,0.123330481,,,,6.512
0.172,0.11972321,,,,6.514
0.174,0.115249251,,,,6.516
0.176,0.110048086,,,,6.518
0.178,0.104294747,,,,6.52
0.18,0.098168597,,,,6.522
0.182,0.091865822,,,,6.524
0.184,0.08564973,,,,6.526
0.186,0.0798522,,,,6.528
0.188,0.074783529,,,,6.53
0.19,0.070627237,,,,6.532
0.192,0.067401417,,,,6.534
0.194,0.064995644,,,,6.536
0.196,0.063250745,,,,6.538
0.198,0.062027061,,,,6.54
0.2,0.061218049,,,,6.542
0.202,0.060725614,,,,6.544
0.204,0.060456754,,,,6.546
0.206,0.060358576,,,,6.548
0.208,0.060440619,,,,6.55
0.21,0.060742188,,,,6.552
0.212,0.061265894,,,,6.554
0.214,0.061941154,,,,6.556
0.216,0.062644052,,,,6.558
0.218,0.063238995,,,,6.56
0.22,0.063615601,,,,6.562
0.222,0.063701488,,,,6.564
0.224,0.063433378,,,,6.566
